"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"29","Ces1d","Adcyap1r1","Cd2","Casq2","Csf2rb2","Cxcl12","Lrrc23","Isg15","Col5a1","Hp","F2","Lgals3","Lrrc3","Lgals3","Cdr1","Xcl1","Plekhb1","Gimap6"
"30","Aldh1a7","Ntm","Pax5","Myom1","H2-aa","Clec14a","Ppp1r1b","Icam4","Col6a1","Pglyrp1","Saa1","Mrc1","Nav3","Lilrb3","Slc1a2","Gimap3","Sept4","Thy1"
"31","Col1a1","Pcdh9","Tnfrsf13c","Ldb3","Irg1","Kitl","Cdr1","Hbq1b","Tagln","Trem3","Kng1","Nfam1","Hpgds","Fcgr1","Ntrk2","Klra3","Nfasc","Prkcq"
"32","Prelp","Ntrk2","Ikzf3","Sh3bgr","Ly6c2","Itm2a","Sox9","Spna1","Aebp1","Cyp4f18","Ces1c","Lilrb4","Slc2a5","Clec7a","Adcy1","Rgs1","Enpp2","Sell"
"33","Svep1","Ptprt","Plac8","Ryr2","Itgb2","Sox17","Mlf1","Slfn14-ps","Hspg2","Ccl6","Cpb2","Csf1r","Gm14023","Cx3cr1","Anks1b","Aw112010","Gal3st1","Spn"
"34","Rbp4","Rfx4","Kmo","Xirp2","Aw112010","Sparcl1","Efcab1","Tal1","Col6a2","Csf3r","Rbp4","Sdc3","Cfh","Prtn3","Kif1a","Ccr2","Gjc3","Sh2d2a"
"35","Adamts5","Acsbg1","Blnk","Eef1a2","Cd52","Tie1","Rd3","Fhdc1","Sparc","Rab44","Plg","Itgb2","Adap2","Ifi205","Gpm6a","Dusp2","Kndc1","Cd247"
"36","Slc36a2","Lrp1b","Fam129c","Trdn","Il2rb","Aplnr","Slc13a4","Hist1h2ak","Nid1","Slpi","Fgg","Igsf6","F11r","Fgr","Sept3","Sh2d2a","Tppp","Gimap1"
"37","C4b","Dio2","Irf4","Smyd1","Gp49a","Pecam1","Nek5","Epb4.9","6330406i15rik","Alox5ap","Ttr","Fcgr3","Tanc2","Coro1a","Mtap2","Adamts14","Mbp","Cd52"
"38","Adig","Lsamp","Fgd2","Srl","Spn","Cd93","Slco1c1","Add2","Tpm2","Trem1","Apoh","Slpi","Col27a1","Pou2f2","Dclk1","Klrb1a","Gjb1","Il2rg"
"39","Lama4","Scg3","Ms4a4c","Dsp","Clec4e","Tmem204","Gpm6a","Cdca3","Svep1","Mapk13","Vtn","Igf1","Sall3","Tgfbi","Trim9","Txk","Adamts4","Cytip"
"40","Sncg","Cspg5","Coro1a","Mylk3","Il1rn","Efna1","Au021034","Mki67","Smoc2","Slfn1","Itih2","Padi4","Gal3st4","Cd52","Slc24a2","Tbx21","Map6d1","Tbc1d10c"
"41","Thrsp","Prex2","Dusp2","Trim72","H2-ab1","Sdpr","1110017d15rik","Blvrb","Mrc2","Clec4d","Gm3776","Cd52","Atp8a2","F10","Snap91","Skap1","Mapk8ip1","Aw112010"
"42","Tmem45b","Sparcl1","Gimap3","Fhl2","Ccr5","Podxl","2410004p03rik","Cpox","Myl9","Mrgpra2a","Fgl1","Adam8","Hexb","Fcer1g","Cntnap2","Spn","Slc44a1","Kcnn4"
"43","Nid1","Ptchd2","Map4k1","Smpx","Myo1f","Sox18","Lrriq1","Zfpm1","Prelp","Ltb","Ces3a","Fcer1g","Lair1","Clec12a","Camk4","Ccl4","Tmem151a","Lef1"
"44","Agpat2","Clmn","B3gnt5","Jph2","Fcer1g","Col4a1","1700003m02rik","Butr1","Mgp","Amica1","Mup7","Pld4","Fgd2","Oas1g","Cadps","P2ry10","Omg","Dtx1"
"45","Sparc","Fam107a","Ptprcap","Nrap","Ccl3","Epas1","1700026d08rik","E2f2","Adamts2","Pram1","Apoc3","Sfpi1","Lpcat2","Ms4a6b","St8sia3","Ikzf3","Edil3","Sidt1"
"46","Col4a2","Mtss1l","Ccr7","Cox7a1","Cd300lb","Ushbp1","Hydin","1300017j02rik","Aspn","Anxa1","Mup14","Cebpb","Pld4","Clec4a3","Ncan","Cd7","Gpr17","Itgb7"
"47","Serping1","Fgfr3","Cd72","Adprhl1","Hp","Igfbp7","1700040l02rik","Hist1h2ac","Serpinh1","Trpm2","Orm1","Ncf1","Sparc","Nfam1","Pcsk2","Lck","Wscd1","Dgka"
"48","Cd36","9530091c08rik","Gimap6","Pygm","Ccl22","Fosb","Gm973","Mfsd2b","Ltbp2","Cd300lf","Serpinc1","Tyrobp","C1qa","Cyp4f18","Camk2b","Fasl","Anks1b","Rasal3"
"49","Ephx2","Slc4a4","Sell","Pgam2","Napsa","Vwa1","Fhad1","Glrx5","Adamts5","Lilrb3","Gsta1","Csf2rb","Nlrp3","Mpeg1","Cntn1","Cd2","Lpar1","Dusp2"
"50","Col4a1","Dclk1","Lax1","Txlnb","Ptprc","Bc028528","Dnahc6","Car1","Loxl2","B430306n03rik","Mup9","Mpeg1","Fyb","Ptpn18","Cnr1","Cma1","Pcdh9","Fam169b"
"51","Ehd2","Grm3","Napsa","Scn5a","Pla2g7","Id3","Slc4a10","Nfe2","Serpinf1","Lyz2","Azgp1","Arg1","Tlr7","Tifab","Cadm2","Cd244","Sh3gl3","Coro1a"
"52","Angptl4","Cbs","H2-eb2","Nexn","Sfpi1","Prom1","Cntn1","Hist1h2ab","Prss23","Bst1","Cyp3a11","Cotl1","Tlr13","C3","Nfasc","Irf8","Lrrn1","Icos"
"53","Hp","Gdpd2","Wdfy4","Trim63","Cytip","Ptrf","Mycbpap","Dhrs11","Ptgs2","Hk3","Uox","Laptm5","Selplg","1810033b17rik","Scg2","Gata3","Olig2","Slfn1"
"54","Ptrf","Gpm6a","Ly86","Myo18b","Sell","Vwf","Rbp1","Ccnb2","Fn1","Ncf1","Itih1","Gp49a","Ptgs1","Sell","Rab3c","Gimap7","Elavl3","Ptprc"
"55","Lgals12","Trpm3","Card11","Popdc2","Dok2","She","Enpp2","Fam55b","Sulf1","Adam8","Pklr","Hmha1","Pou2f2","Hck","Dcx","S1pr5","Ttyh1","Gimap8"
"56","Serpinf1","Rorb","Cd37","Lrtm1","Cd36","1810011o10rik","Ntrk2","Birc5","Cald1","Plbd1","H2-q10","Ccr5","Aif1","H2-aa","Elmod1","Sytl3","Kcnj10","Satb1"
"57","Aqp7","Luzp2","Dok3","Gcom1","Rac2","Timp3","Slc38a3","Rsad2","Abi3bp","Cybb","Itih3","Ctss","Ophn1","Ifitm6","Celf4","Gbp8","Cryab","Rhoh"
"58","Adam12","Pclo","Cyp4f18","Cox8b","Fpr2","Ltbp4","Fzd3","Slc6a9","Ccdc80","Lilrb4","Cyp2a5","Cyth4","Fcgr1","Irf5","Ptprn2","Klrg1","Efnb3","Acap1"
"59","Col5a2","Kif1a","Cacna1i","Corin","Tifab","Abcb1a","Ttc18","Ankrd43","Pdgfra","Beta-s","Clu","Tlr13","Ptprc","Csf2rb","Spock2","Sell","Ephb1","Txk"
"60","Pnpla3","Cadm2","Gimap1","Cryab","Ccl9","Sparc","Spata17","Hmbs","Timp3","Fpr1","Mup10","Ptpn7","Emr1","Cytip","D430041d05rik","Ifng","S100b","Rasgrp1"
"61","Ppara","Plxnb1","Ltb","C130080g10rik","Atp1a3","Col4a2","Prelp","Ces2g","Fam198b","Ankrd22","Cml2","Cd84","Csf2rb2","Crip1","Ryr3","Ptprcap","Tyro3","Ctsw"
"62","Sdpr","Nrcam","Cd24a","Slc2a4","C3","Clic5","Zcchc18","Gypc","Lamb1","Crispld2","Slc38a4","Cd300a","Vav1","Gpr141","Cacna1e","Gm4759","Ptn","Hmha1"
"63","Lamb1","Bai3","Hvcn1","Lmod3","Csf3r","Hmcn1","Gsta4","Art4","Lama4","Alox5","F12","Cfp","Dock2","Ab124611","Disp2","Lax1","Shisa4","Rac2"
"64","Col12a1","Nckap5","H2-q6","Tpm1","Tlr13","Osmr","Rsph9","Cd24a","Sod3","Ceacam10","Abcc2","Cd53","Lcp2","Fn1","Lrrtm3","Mndal","Aatk","Sit1"
"65","Pdk4","Acsl6","Atp2a3","Abcc9","Alox5ap","Abcg2","Gm70","Fn3k","Lhfp","Trim30b","Cyp2c29","Tbxas1","Pik3cg","Lilrb4","Slc12a5","Gimap6","Sv2a","Arhgap9"
"66","Col15a1","Plcd4","Sykb","Lpl","Slfn4","Aw112010","A330021e22rik","Kcnn4","Ptx3","Nfam1","Cldn3","Ly86","Cyth4","Sfpi1","Slc6a1","Padi2","Gpm6b","Lax1"
"67","Slc2a4","Itih3","Cmah","Atp1a2","Myo1g","Fgd5","Lrrc51","Darc","Pdgfrb","Slc2a3","Mug2","Cd74","Nckap1l","Ccdc109b","Kif5a","Zap70","Cntn1","Cxcr6"
"68","Hspg2","Lama2","Ralgps2","Sgcg","Hmha1","Fmo2","Msx1","Rbm38","Meg3","Tyrobp","Kng2","Dock2","Dock10","Igsf6","Nell2","Qrfp","Clip3","Sash3"
"69","Fbn1","Tnc","Tbc1d10c","Nppa","Nfam1","Cyr61","Vwa3a","Cdca8","Cyr61","Il1rn","Pigr","Pmp22","Meg3","Cd177","Sv2b","Klra10","Cntn2","Sh2d1a"
"70","Enpp2","Fat3","Bcl11a","Habp2","Csf1r","Arhgef15","D3bwg0562e","Cenpf","Prrx1","Gp49a","Cfi","Cd93","Rapgef5","Dok3","Mapk10","Gimap8","Sox8","Faah"
"71","Fasn","Ank2","Ebf1","Fsd2","Cd53","Palmd","Cyb561","Alad","Igfbp7","Bc049730","Serpinf2","Fermt3","Plek","Epsti1","Rtn1","Ptprc","Phyhipl","Cst7"
"72","Apol6","Gm973","Acap1","Flnc","Fgr","Slc9a3r2","Gpx8","Ache","Col4a1","Ltb4r1","Hp","Basp1","Itgb2","Apoc2","Amph","Arhgap30","Plxnb3","Camk4"
"73","Igfbp7","Caskin1","Myo1g","Xirp1","Dock2","Ly6c2","Msx1as","Gfi1b","Emp1","Nfe2","Gm10639","Dab2","Csf2rb","Myo1f","Ptpn5","Epsti1","Slc22a17","Gpr174"
"74","Arxes1","Slc38a3","Slamf6","Kcnk3","Lilrb3","Gimap6","Timp3","1190002f15rik","Pdpn","Sepx1","Ugt2b34","Fgfr1","Pag1","Ctss","Kif5c","Klra21","Nipal4","Rps19-ps3"
"75","Serpina3n","Ctnnd2","Acp5","Cmya5","Tyrobp","Adamts1","Krt18","Rad23a","Serpina3n","Fgr","Cyp2e1","Clec4a1","Dst","H2-ab1","Cpne6","Itgax","Stmn4","Fxyd5"
"76","Slit3","2610203c20rik","Scd1","Unc45b","H2-q6","Sox7","Dsg2","Ubac1","Ltbp1","Itgam","Lcn2","Cald1","Mpeg1","Cd74","Gpr158","Cd52","Tmem125","Themis"
"77","Me1","Cdr1","Treml2","Apobec2","Bc013712","Enpp2","1700007g11rik","Samd14","Col4a2","Ffar2","Ces3b","Fgr","Slc11a1","Itgb2","Negr1","Stat4","Kif1a","Slamf6"
"78","Pparg","Gli3","Hmha1","Rbm24","Klrk1","Unc45b","Tmem47","Rab3il1","Itga11","Lilra6","Hsd17b13","Ptprc","C3ar1","Myo1g","Gabra1","Serpinb6b","Aspa","P2ry10"
"79","C3","Xist","Gimap8","Fhod3","Coro1a","Fbln2","Tm4sf1","Gch1","Ptrf","Sell","Apoc1","Fyb","Hmha1","Csf1r","Unc80","Gpr174","Mmd2","Gata3"
