"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"292","Gstm2","Tlr3","Endou","Tuba4a","Prf1","Xaf1","Ildr2","Xist","Runx1","Pik3r5","Wwc1","Ifi30","St3gal6","Plcb1","Rims2","D16ertd472e","Rcan2","Bambi-ps1"
"293","Acss3","Cecr2","Cap1","Slc47a1","Rin3","Ece1","Myo10","Prkar2b","Emp2","Capn1","Lims2","Ifitm2","5031414d18rik","Lcp1","Fat1","Fcho1","Endod1","Gpsm3"
"294","Klb","Fmo1","Slc38a1","Eng","Pilrb1","Egr1","Hmgn3","1810027o10rik","Ddx3y","2310014h01rik","H2-k1","Rasgrp2","Fscn1","Fcgr2b","Gad1","Ppp1r12a","Metrn","Ucp2"
"295","Ifi204","Prdm16","Plcg1","Cav3","Klra7","Cbfa2t3","Slc24a5","Hist1h2ad","Mpdz","Fgl2","1700019g17rik","Gna15","Magi1","Rgs14","Epha5","Car5b","Cyp51","Bcl2"
"296","Gpc4","Glis3","1700021k19rik","Itgad","Ccl24","Ocln","Apoe","Slc22a23","Fam129a","Tnfrsf1a","Ctnnd1","Ctsl","Gfm2","Oas2","Car10","Dock10","Arhgap23","Cd7"
"297","S100a11","Ptch1","Nfkbid","Rilpl1","Dennd1c","Phldb2","Cd9","Apobec3","Snai1","Plac8","Cdh2","Trf","Ccl3","Sirpa","Celf5","Atp2b4","Cd81","Cpm"
"298","Phlda3","Pde8b","Vars","Rhobtb1","Mpo","Tmem98","Trf","Cdt1","Tmsb10","Tmsb4x","Xdh","Il10ra","Lcp1","Lgals1","Neo1","Cuedc1","Tmem132b","Chd3"
"299","Trp53inp2","Sall3","Slc1a5","S100a1","Apbb1ip","Scarb1","Rragd","Troap","Col4a5","Plcb2","Ephx2","Tmem106a","Pak1","Plxnb2","Dst","Klf12","Bace2","Acsbg1"
"300","Tlcd2","Syne1","Fam55c","Homer2","Nup210","Lmo7","Apbb2","2810417h13rik","Ccnd2","Tnfaip8l2","Ces2c","Ifi205","Nav2","Pilra","Arhgap32","Smc4","Plekha1","Lrmp"
"301","Mt2","Fxyd1","B4galnt1","Acaa2","Hk3","Beta-s","Agbl2","Slc25a39","Sdpr","Oas2","Rhpn2","Sirpa","Bco2","Ckap4","Celsr2","Gm11435","1700088e04rik","Abhd8"
"302","Hadh","Sycp2","Tgfb1","Gata6","Tarm1","Slc16a2","Gpr37l1","Coro1a","Mt2","Dgat1","Atf5","Ptpre","Akna","Nhsl2","Pgbd5","Bc005561","Mtap7","Ddit4"
"303","Gapdh","Zfhx2as","Srgn","Svil","Dock8","Tagln2","Lyz2","Cox6b2","Epb4.1l3","Dock2","Pik3ap1","Plxnb2","Dennd4a","Metrnl","Gabbr2","Klhl6","Pcsk6","Unc13d"
"304","Yap1","Myh6","Foxp1","Notch3","Serpinb9","Ptn","Olfml1","Cd59a","Crip1","1600010m07rik","Rgn","Nfia","Gab1","Rgs2","Tmem181b-ps","Nup210","Rtn1","Gpr18"
"305","Ddx3y","Sema4a","Adam19","Nnt","St8sia4","Gpr56","Fam60a","Phyhip","Steap2","Nckap1l","Plin2","2510009e07rik","Klhl6","Tap1","Thsd7a","Lrmp","Phlda3","Foxo1"
"306","Eif4ebp1","2900052n01rik","Il16","Abi3","Bhlhe40","Fcgrt","Maged1","Tlcd1","Ebf1","Stx11","Gstm1","H2-d1","Fmnl3","Cdc42ep3","Stxbp1","Dab2ip","Rusc2","Pdcd1"
"307","Ifitm2","Grhl1","Sp110","Hk2","Gm5424","Sepp1","Zfp185","Gfap","Leprel2","Rassf5","H2-q1","9830001h06rik","E230029c05rik","Pla2g7","Ckb","Gpsm3","Cdr2l","Dpp4"
"308","Cfb","Hivep3","Tap1","Asb14","Lrrc25","5430416o09rik","Gm5148","Parvb","Htra1","Cldn15","Rsad2","Id2","Npnt","Ms4a6d","Atp2b3","Car2","1700047m11rik","Hdgfrp3"
"309","Chpt1","Camk2a","Rhbdf1","Nr1d1","Cyba","App","Cetn2","C1qa","Itgb5","Pbx1","Lipc","Mertk","Pmepa1","Arpc1b","Lin7a","Ugcg","Acot7","Tmsb4x"
"310","Acsf2","Mbp","Fcgr2b","Adcy6","Myadm","Gimap8","Sdc2","Slc16a6","Ak1","Itprip","Dst","Lmo2","Cd14","Rnase6","Sel1l3","Il10ra","9830001h06rik","Tap2"
"311","Ndrg2","Sh3pxd2b","Zfp318","Adssl1","Xdh","Adamts9","Pm20d2","Fahd1","Islr","Aa467197","Mettl7b","Klhl6","Lgmn","Rpl18","Olfm1","Card11","Cd82","1190002h23rik"
"312","Heph","Sorcs2","Sema4d","Egln3","Ccl4","Tax1bp3","Eif2s3y","Cd52","Gpr176","Pgd","Mttp","Ctbp2","1700017b05rik","Ikzf1","Fam49a","Cd226","Cldn14","Zfp831"
"313","Ucp2","Stox2","Stat4","Me3","H2-dmb1","Ppia","Mtap9","Mcm2","Frzb","Rnf149","Gpam","Rab31","B4galt4","S100a11","Map3k9","Pstpip1","Clcn6","Slc12a7"
"314","Dbi","Kif21b","Fermt3","Rap1gap2","Ifi203","Ifi47","Ptprf","Plcl2","Ankrd1","Scand1","Igfbp4","Rab11fip5","Elf4","2210020m01rik","Tppp","2010012o05rik","Tpt1p","Zdhhc15"
"315","Mcam","Ddhd1","Gmfg","Vegfa","S100a4","Sorbs3","Slc38a1","Dok1","Nfix","Pdlim7","Hhex","Lamp2","Gtf2h2","Pglyrp1","Cadm1","Prr5l","5031439g07rik","Rps3"
"316","Ms4a4d","Ckb","Inpp5d","Dmd","Arg1","Cp","Enpp5","Cdc6","Tjp1","Agap1","Rhou","Lat2","Zbed6","Pilrb1","Scg5","Vim","Spns2","Slamf1"
"317","Cdkn1a","Spire1","Ap1s3","Pecam1","Af251705","Sncg","Ttc8","Espl1","Tnfaip2","Glrx","Tjp1","Malat1","Arhgap4","Nupr1","Rasgrp1","Apobr","Golga7","Nckap1l"
"318","Gm5506","Lcat","Sla","Ehd4","Ptafr","Klhl6","Ucp2","Ltf","Tns3","Sun2","Onecut2","Serpinb6a","Kcnma1","Nme2","Wdr17","Ai467606","St6galnac3","Lpxn"
"319","Nat8l","Lphn1","Hdac9","Mapt","Sh2d2a","Dnm3","Pla2g7","Otub2","Cd109","Syne1","Pvrl2","Ceacam2","Inpp4b","Ptpre","Grm1","Lrrfip1","Dip2a","Plcb2"
"320","Emb","Setbp1","Dock8","Acadm","Lgals1","Hspa1a","Zfhx4","Mcm6","Figf","Osm","Iqgap2","Plcg2","Sh3pxd2a","Bst2","Slc8a1","Cmklr1","Ado","Aff3"
"321","Sfrp2","Auts2","Fam55b","Col1a1","Gas7","Fosl2","Ppia","Ifi27l1","Fam38a","Zyx","Met","Rplp2","Tppp","Xist","9330159f19rik","Ankrd12","Bace1","Tmie"
"322","Lgals3bp","Acsl3","Lbh","Yap1","Ctsw","Fam101b","1700007k13rik","Sec14l2","Neo1","Ikzf1","Pcdh1","Abi3","9930111j21rik2","Pfkfb4","Slitrk4","Cmah","Sytl2","Actn1"
"323","Kirrel","Arhgef17","Traf3ip3","Asph","Sepx1","Fam171a1","Mgst1","Abcb6","Tenc1","Lbp","Anxa3","Plxna4","Fcgr2b","Tbkbp1","Ahi1","Ppig","Ggt7","Bdh1"
"324","G6pdx","Irs1","Klf2","Sgca","Trem1","Dennd3","Ndrg2","Wipi1","Nedd4","2010002m12rik","Stbd1","2310014h01rik","Susd3","Trem2","N28178","Rab37","Csrp1","Pycard"
"325","Gpnmb","Aplp1","Dock11","Ppp2r3a","Emr1","Pmp22","Elovl7","Uba7","Pkd2","Sema4f","Rnf128","Ucp2","Pcdhgb4","Ly6c1","Gabbr1","Pitpnc1","Rnf122","Tmsb10"
"326","Zfhx4","Slc15a2","Plcb2","Bc037032","Csf2ra","Samd9l","Ccnd2","Mxd1","Fgf7","Dgkg","Slc6a9","Gpx1","Il17ra","Dusp22","Robo1","St3gal6","Dact3","Sema4d"
"327","Htra1","Klf12","Phgdh","Timp3","Tagln2","Lifr","Armc3","Tmc6","Tgfbr2","Ogfrl1","Slc7a11","Ctsh","Irf8","Tmsb4x","Lrp8","Wipf1","Nipa1","Sema4a"
"328","Fabp5","Lhx2","Sept6","B230120h23rik","Gpsm3","Cttn","Kcnk1","Pgp","Rnd3","Psd4","Pygl","C3","Plekho1","Gpr18","Epb4.9","4831426i19rik","Osbpl1a","Axin2"
"329","Gpr81","Pion","Pkp3","Gpihbp1","Spp1","Btg2","Cacnb4","8430419l09rik","Adam19","Akna","C330021f23rik","Il10rb","Dock7","Nfix","Susd4","Sulf2","Prom1","Rps12"
"330","Ccnd2","Kif5a","Evi2b","Ablim1","Btk","Mndal","Dnahc2","Ppap2a","Itpr3","Capg","Sardh","Sh3pxd2b","Naip2","Rps19","Elavl2","Cxcr3","Lars2","Cyba"
"331","Tbx15","4933431e20rik","Pik3ap1","Ccdc80","Fes","Tnfrsf19","Atf3","Dnaja4","Gstm2","Lrrc25","Cfhr2","Tspan4","Macf1","Padi4","Kcnq5","Ankrd11","Hspa8","Chst10"
"332","Neat1","Ptprd","Tmem108","Cacna2d1","Kif21b","Eif2s3y","Fam188b","Fgfrl1","Kank2","Slc15a3","Snx22","Baz1a","Lrrc33","App","Foxg1","Cd97","Carns1","Rplp2"
"333","Nedd4","Ai464131","Sp100","Slc38a3","Crip1","Tspo","Arl6","Nipa1","Lima1","Cd63","Flnb","Fmn1","Nckap5l","Limd2","Tmem59l","Ccdc88b","Elovl6","Slc2a3"
"334","Rbfox2","Kcnq1ot1","Grap2","Uqcrfs1","Cxcr4","Gbp7","Gm221","Pmf1","Serpine2","Dennd3","Hrsp12","Ccr1","Zeb2","Ahnak","Frmpd4","Khdc1a","Pcyt2","Stk17b"
"335","F2r","Dzip1l","Il27ra","Mtus1","Acat3","Vim","Peg3","Smap1","Tnfrsf11b","Sqrdl","Ugt3a2","Tgfb1","Ubash3b","Ehd4","5330417c22rik","Klra5","Ywhaq","Xist"
"336","Zeb2","Pcdh11x","A430078g23rik","Adamtsl5","Sgms2","Tfpi","Wwc1","Gstm5","S100a10","B230208h11rik","Cyp2c54","Tnfsf12","Plcl2","Rara","A930011o12rik","Anp32b","Cpox","Btbd11"
"337","Lss","Gprc5b","Sema4b","Pkia","Pstpip1","Entpd1","Anxa2","Anln","Ptprg","Prom1","Dpyd","B4galt6","Cd81","Dock8","Thy1","Cd44","Tmem63a","St6gal1"
"338","S100a6","Myo6","5031414d18rik","Atp5g1","Akna","Parva","Ankrd42","Laptm5","Eng","Kif21b","Myo1b","Plcb2","Adam15","Nrp1","Shisa7","Lrrk1","Gng7","1110032f04rik"
"339","Eif2s3y","Kalrn","Acss1","Gm9899","Tlr7","Tgm2","Usp2","Trim56","Ncs1","Tbc1d2","Dak","Itga9","Tns3","Zyx","Bai2","Arhgap15","St18","Rpl38"
"340","Cspg4","Nhsl1","Cmtm7","Bves","Ppia","Mtus1","Wls","2310022b05rik","Pla2g4a","Ceacam2","Lrig1","Ms4a6d","Bmpr2","Lcp2","Lrrc16b","Klhl4","Rgnef","Ncf4"
"341","Lpin1","Plcb1","St8sia4","Dusp27","Phospho1","Xist","2900097c17rik","Dnajb3","Prkcdbp","Rhog","Bc021614","Slfn5","Arl4c","Lmo2","Odz4","B2m","Myo1d","Rhof"
"342","Fah","Col11a2","Aldh2","Acat3","Aoah","Capg","1700094d03rik","Stard10","Dap","Plcg2","Sgms2","Rhoc","Gm5148","Adssl1","Atp6v0e2","Sept11","Elovl1","Rps13"
"343","Tspo","Dock3","Ptpn7","Tcea3","H2-m2","Pde2a","Bpnt1","Lyz2","Yap1","Dmxl2","H2-gs10","Arhgap12","Wdfy3","Rin3","Fhl1","Diap1","Av051173","Gramd3"
"344","9430020k01rik","Dbx2","Mif4gd","Phldb1","Il18r1","Fat4","Tnfaip8","Trim59","C1ra","St3gal5","Gm5148","Trim47","B430010i23rik","Zfp385a","Srrm4","Lat2","Ptp4a1","4632428n05rik"
"345","H2-d1","Arhgap32","Satb1","Pla2g5","Lass6","Pcdh1","Dnaja4","Pcna","Gpr124","Tnfsf14","Afm","Lpcat2","Tgfb1","Cebpd","Mtap9","Wbp5","Ppap2c","B2m"
"346","Gprc5b","Prrx1","Foxo1","Ppif","Oasl2","Spock2","Ccdc11","Adcy6","Unc5b","Atp2a3","Mal2","Tlr2","Rac2","Mtus1","Sox11","Lcp2","Bin1","Plekhg2"
"347","Mxra8","Nlgn1","Whrn","Hand2","Gm5088","Ahnak","Abcg1","Cdc42ep3","Bmpr1a","Rinl","Farp1","Uty","Lonrf3","Rasgrp2","Tnik","Hip1r","Lss","Rps5"
"348","Vcan","Slc1a4","H2-k1","Serinc4","Ly75","Gatm","Prnp","Kif14","Glipr2","Sirpa","Gm5088","Galnt6","Rab7","Fgd2","Malat1","Hopx","Pla2g4a","Adcy7"
"349","Hoxc8","Nr1d1","Rasal1","Wnk2","Itga5","Psmb9","Ociad2","Arhgef12","Id3","Btk","H2-d1","Snx24","Sash3","B3gnt8","Col6a1","Ifi47","Fdps","H2-t23"
"350","Acss2","Mro","Bcl2","Fbxl22","Smpdl3b","Pcp4l1","Fam107a","Cdkn2c","Hmox1","Tspo","Bc006779","Kcnk6","Ivns1abp","Rps29","Dmxl2","Fos","Rhobtb3","Foxp3"
"351","Abi3","Acss1","Fam107b","Gsn","Ctsh","Rnf144b","Aqp4","Cdkl1","Scd1","Prok2","Cd81","Zfhx3","Nova1","Isg20","Gas7","S100a6","Adssl1","Igtp"
"352","1190002h23rik","Apc2","Tmem163","Mtfp1","Il21r","Csrp2","Ednrb","Kif4","Bmper","Gsr","Prdx1","Hhex","Ctnnd1","Gm4763","Fez1","Luzp1","Trim59","Rps29"
"353","Cd63","Lrp8","Clcf1","Acads","Ccr7","Slc38a3","Arhgap5","Sipa1","App","Slc27a4","Zbp1","Rasgrp3","Chn2","Ptpn22","Lingo1","Sipa1","Gnb4","Slain1"
"354","Lrrc32","Prodh","Pml","Atp5g3","Samd3","Clec1a","Dnajb13","Gmnn","Mt1","Ier3","Igfbp2","Pik3r5","Ssh2","Upb1","Mal2","Wdr95","Spock3","Slc38a1"
"355","Ifitm3","Gria1","Lat2","Gpd1","Gpr65","Myo1h","Sumo2","Chst10","Pdgfrl","Mocos","Mvp","Naip2","Sort1","Kcnab2","Ckmt1","Rbm25","Ptgds","Sla2"
"356","Slc24a3","Lrrc16a","Susd3","Doc2g","Ppbp","Dpysl2","Idh3a","C1qb","Fstl3","Osgin1","Pcx","Itsn1","Tgfbr1","Ceacam1","Hecw1","Msn","9130019p16rik","Rpl11"
"357","Rbm47","Gcnt4","Stk17b","1700095b10rik","Met","Serpinb9","Twf1","Atp2b4","Igf1","Vim","Slco1a1","Mtus1","Arhgap12","Srgn","Wdfy3","Gpc1","Fkbp9","Evl"
"358","Igf1","Itpr2","Akna","Amotl1","Stfa2l1","Plscr4","Maml2","Pabpc4","Efemp1","Cebpb","Sepp1","Arpc1b","Dock11","P2ry6","2900011o08rik","5830405n20rik","Gprc5b","Znrf1"
"359","Cox8b","Apoe","Plekha2","Parvb","Retnlg","Mfng","Emr1","Slc25a21","H6pd","Sort1","Cyp27a1","Cd302","Jmjd1c","Stom","Cntn4","Slfn2","Thra","2310014h01rik"
"360","Kank2","Arhgap26","Susd1","Grb10","Sort1","Hhex","Myo5b","Carhsp1","Il6st","Pnkp","Lcp1","S100a10","Sipa1","Cd37","Scn2b","B4galnt1","Litaf","Ppm1j"
"361","Tmem179","Tead1","Kctd14","Acadl","Irf8","Nos3","Gm166","H2afj","Fxyd5","Cd84","Eif4ebp1","Slc43a2","Dock9","Trem3","Myh10","Psmb8","D030047h15rik","Slco3a1"
"362","Apod","Foxg1","Gpr171","Akap2","Tmsb10","Cd9","Clip4","Gda","Chpf","Mical1","Asgr2","Pam","Whrn","2310014h01rik","Plk2","Sorl1","Prex1","Tes"
"363","Slc25a1","Fry","Trim7","Ehbp1l1","Rgs14","Oasl2","Tpt1p","Pnp","Hmga2","Ltbr","S100a10","1810033b17rik","Rcsd1","S100a8","Fgf12","Mctp2","Stox2","Tmem66"
"364","Peli2","Prrt2","Sema7a","Rnf128","Klrc2","Tmsb10","Tmem67","Fam53b","Ctsl","Niacr1","Pcsk6","Irf4","Snhg11","Ptgir","Clstn1","Chd3","Maged1","Arhgef1"
"365","Ldha","Ccdc88a","Sh3pxd2a","Lims2","Pik3cg","Ube2l6","Necab3","Spnb1","Igsf3","Taldo1","Abcb4","Fndc3b","Mid1","Naaa","Actl6b","Il7r","Bpgm","H2-d1"
"366","Abcg1","Ai854517","Cnp","Nkx6-2","Mtus1","Dock1","Acox2","Tubb2c","Oaf","Arpc1b","Jub","Fam78b","Malat1","Treml2","Cdc42bpa","Tspan32","Cadm2","Ramp1"
"367","B2m","Dock7","Nfkbie","Jam2","B2m","Kctd12b","Igfbp2","Lmnb1","Kdelr3","Timp2","Lcat","Klf2","Arhgef40","Myadm","Syt7","Adrb1","Nmral1","Fam55c"
"368","Ebf3","Wdfy3","Clec2i","Neat1","Dock11","Csgalnact1","Dmd","Gtse1","Actb","Tarm1","Pgam1","Gmfg","Rtn4rl1","Glipr2","Grm7","C230081a13rik","Myo6","Il6ra"
"369","Chrdl1","Adamts9","Crkl","Slc6a8","Sla2","Slc40a1","Tubb4","Pnpo","Dpep1","Plek","Tns3","Il6ra","Adamts16","Crybb1","Prkcc","Zfp318","5430435g22rik","Il6st"
"370","6330406i15rik","Usp54","Pitpnm2","Klhl30","Ceacam1","2900073g15rik","Steap1","Grap2","Fads3","Fcnb","Prpf19","Emr4","Numb","Sema4d","Nol4","Celf2","Apbb2","Pik3ip1"
"371","Vgll3","Sox6","Stac2","Pdzd9","Galnt6","Cnn2","Cd81","Pou2f2","Tmem119","Dmwd","Sdc4","Runx1","Cd74","Rps28","Plxna2","Mcam","Ralgds","Il12rb1"
"372","Acaa1b","Sdc4","Epsti1","Pdk2","Kctd12","Ldb2","Adarb1","Prc1","Sept11","Limd2","Cyp4v3","Eps8","Myo1g","Sort1","Auts2","Kcnip3","Slc6a9","Cd82"
"373","Ltbp3","Cntfr","Sh3bgrl3","Myl1","Ccdc38","Abca1","Fgd4","Raly","Apod","C5ar1","Parva","Plcl2","Arrb2","Rhog","Mdga2","Plscr4","Slc1a1","Slc1a5"
"374","Tgfbr2","Cdh2","Tnfrsf13b","Tmem182","Nfe2","Dusp3","Wdr69","Cks1b","Gpnmb","Orm1","St6gal1","Rgs2","Gsdmd","Ldlrad3","Spock3","Bhlhe40","Sort1","Bach2"
"375","Amotl2","Cyp2j6","Rapgef4","Rbm38","Prdx1","Etl4","Itpripl1","Vamp5","Arhgap29","G6pdx","Neurl3","Myo1e","Rgs2","Lrmp","Akap5","Sp100","Gstm7","Klrd1"
"376","Asns","Fam20a","Sfpi1","Rragd","Mki67","Tcf4","Acaa2","Fam132a","Copz2","Pik3r6","Apoa5","Tnfaip8l2","Usp2","Fam129a","Dcc","Rasa1","Gng11","Nt5e"
"377","Igfbp4","Mapk4","Ero1lb","Eml1","Ptpn22","Cttnbp2nl","Myo7a","Sept8","Wls","Prex1","Serpind1","Rab27a","Fchsd2","Ass1","Fgf14","Chrne","Ppp1r14a","Lbh"
"378","Atf5","Scd2","Ccnd2","Gmpr","Ifitm2","H2-t23","Rfx3","Metap2","Lgals3bp","Gm885","Gpx1","Parvb","Pik3r6","Ms4a4b","Vsnl1","2610018g03rik","Rundc3a","Lrrfip1"
"379","Ifi205","Sema6a","Cdc25b","Synpo2","Cd14","Prnp","Ifitm3","Ccnd3","Cd9","Dhrs7","Aldh2","Mtss1","Hpgd","Pycard","Ctnna2","Aoah","Tspan3","Nme2"
"380","C1ra","Grik2","Fam111a","Nkx2-5","Tlr2","Adh1","Laptm5","Cxcr4","Crlf1","Aldh3b1","Slc27a2","Plxna1","Fam135a","Loc100038947","Ralyl","Eya2","Nacad","H2-ob"
"381","Pcca","Ttyh3","Tcf4","Ahnak","Lck","Plat","Sfxn1","Pqlc1","Arhgdib","Gcnt2","Fabp1","Kdelc2","Skil","Pydc4","Slc7a14","Arid4b","Sc4mol","Rtn4rl1"
"382","Prlr","Cadps","Limd2","Sbk1","Fam105a","Ctsl","Atp2b2","Kif2c","Plac9","Ebi3","Hspa8","2810055g20rik","Il1rl2","Aldh3b1","Fam5b","Chn2","8430419l09rik","Rps27a"
"383","S1pr3","Enah","Psmb8","Pdlim5","Baiap3","Slc24a5","1700016k19rik","Stradb","Tln2","Fmo5","Alcam","Txnip","Abcd2","Dock10","Svop","Abcb1a","Lass2","Rpl28"
"384","Ctsl","Celsr1","Fli1","Ppara","Cd177","Pde4b","Morn5","Mthfd2","Irs1","Sirpb1b","Myo1c","C230081a13rik","Slc24a3","Ndufa6","Slc2a3","Nrarp","Enpp5","4930523c07rik"
"385","Aco2","Cml1","Pold1","Abcc8","Mt1","Gimap1","Vamp8","Rnf10","Matn2","Mgst2","Gapdh","Igfbp4","Bc005764","Tusc1","Pde2a","Pik3cg","Dpysl2","Apobec3"
"386","Kbtbd11","Ptprf","Chst15","Pygb","Gsn","Pmaip1","Zbbx","Aqp9","Pdlim1","Fam107b","Chdh","Purb","Rassf2","Tmem160","Ppp2r2b","Ezr","Cyp2j6","Ephx1"
"387","Lhfpl2","Adhfe1","Gramd3","Nebl","Siglece","Gpr4","Atp1b1","Vamp8","Plxnb2","Kdm6b","Cnn3","Arhgef12","Kcnq1ot1","Scarb1","Ablim3","Trim12a","Ppia","Pydc3"
"388","Rhou","4930417g10rik","Ccbp2","Prpf19","4930473a02rik","Clu","Pnpo","Epn1","Igfbp4","4933408b17rik","Glyat","Pyhin1","Arhgdib","Tagln2","Shisa9","Tcf7","Acsl3","Ezr"
"389","Clec2d","Chst1","Lrrc16a","2900073g15rik","Tbx21","Cd36","Snx22","Bsg","Eif4ebp1","Fam129a","Slc2a2","Samsn1","Unc93b1","Apba1","Pgm2l1","Elovl6","Pls1","F2r"
"390","Ppia","Cxcl14","Plbd1","Mdh1","Arap3","Tspan4","Fgfr2","Csda","Mnda","Abca7","Cyp2c70","Gm11428","Lag3","Ptpn7","Tanc2","Gab3","Taldo1","Rps26"
"391","Lbp","Lifr","Tap2","Nlrp10","Pag1","Ier2","Hpgd","Tmem14c","Tgfbr3","Unc13d","Anxa5","Tnfrsf1a","Tns1","Tnfrsf1a","Zfyve28","Ddx10","Dpy19l1","Tagln2"
"392","Hk2","Nlgn3","Dclk2","Ushbp1","Tbc1d8","Atox1","Tagap1","Agpat4","Arpc1b","Fau","Echdc2","Hp","Fes","Gm10136","Gda","Slc28a2","Abat","Rpl32"
"393","Cat","Kcnma1","H2-d1","Kif1c","Ikbke","Fkbp9","Mbnl3","Rfx2","Igf2bp2","Dock8","Cyp3a25","Lrg1","Tgfa","Bc147527","Nptx1","Pglyrp1","Pou3f3","Fam102a"
"394","Idh3a","Abca1","Cerk","Pm20d2","Pilrb2","Arhgap31","Ngfrap1","Rac2","Ptgfrn","Msra","Phlda1","Tm6sf1","Il7r","Mfsd7a","Reep1","Carns1","Hdac11","Fam107b"
"395","Hmox1","Slc13a5","Esyt1","Xist","Fcgr2b","Ceacam2","Ctsh","Arl4a","Itpripl2","Ceacam1","Igf1","Arhgap25","Evi2b","Gpr65","Dlg4","Ppp1r16b","Acss2","Pop5"
"396","9830001h06rik","D830031n03rik","Ddx3y","Bag3","Il7r","Slc43a3","Rassf9","Ccnb1","Phldb1","Arl11","Ikbke","Rgl1","Apobr","Siva1","Faim2","Gbp7","Lrrc4b","Rpl22"
"397","Cgnl1","Dzip1","Rbm38","Kank2","App","Cald1","Fbxo36","Syngr1","Dock7","Cdkn2d","Ltbr","E030024n20rik","Card9","Zeb2","Ai414108","H2-d1","Adap1","Il17ra"
"398","Mrc2","Psd3","Sorl1","Dlc1","Rasgrp1","Pdgfd","Gsn","Gpsm2","9830001h06rik","Cpne2","Tagln2","Ms4a8a","Tnfaip8l2","Ndrg1","Bex2","6430527g18rik","Sqle","Rps9"
"399","Lrrn4cl","Pou3f3","Unc13d","Got2","Csf1","Serpinb6b","1110032a03rik","Tnk2","Cercam","Slco4c1","Fads3","Il6st","Cdc42bpb","Inpp5d","Ptn","Arpc1b","Me1","Tnfaip8l1"
"400","Syn2","Rgs7","Adcy7","Ddo","Pstpip2","Myl12b","Tex9","Bcl2l1","Ngf","Krt86","Ube2l6","Pltp","Prkcd","Fam129b","Kcna4","Gm13253","Tmbim1","Ctla4"
"401","Il6st","Xylt1","Hivep2","Slc12a7","Card9","Clic1","9230110c19rik","Lpin2","Loxl3","Litaf","Ttpa","F630028o10rik","Ctsl","Calhm2","Homer2","Fam105a","Zeb2","Cep97"
"402","Bmpr1a","Plekhb1","Tgfbr2","Tenc1","P2ry10","Pros1","Rmst","Col5a1","Nexn","Ier2","Tspan9","Apobec1","Plekhh2","Taldo1","Atp6v0a1","Ifngr1","Dnm3","Rps20"
"403","Myadm","Plcg1","Cplx2","Rassf3","H2-k1","Cd81","Gjb6","Bub1b","Runx1t1","Tmem71","Ifi27l2b","Ank","Bank1","Psmb9","Gabra4","Parvg","Adora1","Gnb2l1"
"404","Slc5a3","Als2cl","Pkig","Gm4814","Klrb1b","Slc38a5","Trpm3","Chaf1b","Mfap4","Agpat9","Otc","Zcchc14","Rin3","Csrp2","Ppargc1a","Afmid","Brsk1","Dock11"
"405","Slc25a42","Gpc6","Bend5","Fbln2","Lrrc33","Zfp36","Wdpcp","Lgals9","Myo1c","Cd53","Ak4","Fcgr1","Fmnl2","Ngp","Slc35f1","Prkca","Tprn","Traf4"
"406","Kcnj15","Nfia","Rin3","Fstl1","Sorl1","H2-d1","Dusp18","Rab43","Cd81","Rara","Tead1","Rps14","Klf12","Prdx4","Grm3","Aim1","Marcks","Tnik"
"407","1300001i01rik","Sox5","5830405n20rik","Crat","Myof","B4galt4","Dstn","Cox17","Lmod1","Tbc1d8","Tuft1","Itga6","Agmo","Prkcd","Mef2c","Clec2i","Pim3","Psmb9"
"408","Mtus1","Trps1","Apbb1ip","Prickle3","Igf1","Foxc1","Bphl","Cox6a1","Syde1","Basp1","Ttyh2","Coro2a","Ccnd1","Dennd1c","Usp29","Zfpm1","Usp54","Ikzf2"
"409","Pvrl2","Pcdhgb1","Pacsin1","Esrrg","Alox5","Lama5","Aldoc","2310061c15rik","Plec","Inpp5d","B2m","Etv1","Specc1","Def6","Jakmip2","Traf1","Kif1b","Mllt6"
"410","Cpt2","Tmc7","Gpd1l","Mgst3","Msn","Mef2c","Gpx4","Larp1b","Lbh","Csf1r","Isg15","Sec61b","Gab2","Abi3","Gprasp1","Cdc42ep3","Atp8a1","Rps10"
"411","Pcdh19","Dlg4","Ctso","1810011o10rik","Abca1","Abcg1","Sdpr","Uhrf1","Lgals9","Rogdi","Cd63","Ifi27l2a","Zcchc14","Nup210","Pak1","Nlrc5","Abtb2","Ttc28"
"412","Prrg3","Prex1","Lrrc33","Mpdz","Ccnd2","Dst","Lgr4","Dck","Igf1r","Sept1","Ces1f","Evi2a","Gna12","Sdc3","6230409e13rik","Prrc2c","Gfra1","Pmepa1"
"413","Aifm2","Kirrel3","Lrrk2","Mgp","Prkcd","Tifa","Nrn1","Rps12","Ryk","H2-d1","Mical2","Gab1","Maged1","Smpdl3a","Camk2n1","Pura","Frmd8","Rapgef4"
"414","Akap2","Zfp532","Ints7","Cycs","Vcan","Amotl2","Pcnp","Chac2","Rhoc","Sh2d3c","Rras","Cd300lg","Map3k12","St8sia4","Galnt13","Nckap1l","Tmem141","Sh3bgrl3"
