"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"1","MS4A1","DNTT","MCPT8","APOL7C","MMRN1","CCR3","SKINT10","DPT","KLRB1B","MRC1","MCPT4","FCRLS","CLEC4A1","IL1F9","KLRA8","ART2B","MPO","ASPN","CD8B1","TRDJ1"
"2","IGKV2-109","RAG1","CPA3","GM6377","CDH5","F5","REG3G","C1S1","NCR1","C1QC","MRGPRB1","C1QC","MS4A4A","FPR2","KLRA7","TCRG-V4","ADGRL4","SPARCL1","CD8A","TRDV5"
"3","IGKV1-117","S100A9","CD200R3","ADAM23","SEMA3D","EAR1","SKINT9","LEPR","KLRI2","C1QB","MRGPRB2","P2RY13","LOC100038947","S100A8","GZMA","CXCR6","PRTN3","MYL9","THEMIS","TRDC"
"4","IGKV1-135","NGP","MS4A2","DNASE1L3","ADGRF5","RETNLG","FCGBP","INMT","XCL1","C1QA","RGS13","C1QA","ADGRE4","MMP8","KLRA13-PS","TRAC","CAR2","DPT","TRAV14D-3-DV8","CCR9"
"5","IGKV10-96","HIST1H3H","FCER1A","FLT3","KDR","ADGRE4","KRT17","LUM","TRGJ4","CD36","A530099J19RIK","TMEM119","SERPINB10","CLEC4D","NCR1","CD3G","FLT3","NPY1R","TRAJ49","TCRG-V4"
"6","IGKV12-44","S100A8","DNASE2B","KMO","GLYCAM1","GM14548","4833423E24RIK","DSC3","KLRC1","CLEC4A3","TPSB2","C1QB","CLEC4A3","S100A9","KLRG1","CXCR3","ANGPT1","C1S1","TRAC","TRGJ4"
"7","IGHV1-82","FLT3","CXCR2","H2-AB1","MMRN2","F630111L10RIK","SYT1","SERPING1","TCRG-C4","C3AR1","MRGPRX2","IL1A","KLRA2","CXCR2","KLRI2","KLRB1C","UHRF1","POSTN","CD3G","TCRG-C4"
"8","CD19","DRC7","CYP11A1","H2-AA","STAB2","LILRA6","SKINT4","VTN","KLRB1C","CLEC4A1","CMA1","SIGLECH","EAR2","STFA2L1","EOMES","TRGJ4","MUC13","SERPING1","TCF7","CD3G"
"9","FCMR","LY6D","HRH4","H2-EB1","F8","INPP5J","ALOX12E","HMGCS2","KLRB1A","TLR8","TPH1","HPGDS","TREML4","NGP","NA.94","TCRG-C4","HIST1H1A","OLFR558","LEF1","GZMA"
"10","IGHV8-12","HIST1H1A","CDH1","KYNU","PLVAP","PRG4","LOC328448","PDGFRA","IFNG","LPL","FCER1A","SALL1","IFITM6","RETNLG","GZMB","KLRC1","ADGRG1","BGN","CD28","ITGAE"
"11","CD79A","LCN2","FAR2","PLBD1","PROX1","9830107B12RIK","DAPL1","CXCL12","IL2RA","DAB2","CPA3","OLFML3","GPR141","LY6G","PRF1","TRBV29","KIT","EPHX3","TRAJ41","TRAV15-1-DV6-1"
"12","IGKV19-93","RAG2","C3AR1","TBC1D9","LYVE1","GAPT","TBATA","POSTN","TRDV4","MERTK","OLFR920","SLC2A5","F13A1","FPR1","KLRC3","CD226","DTL","ENPP2","CD5","PDCD1"
"13","IGKV9-120","CHIL3","MRGPRA6","SHTN1","PTPRB","ALOX15","CBR2","ABCA8A","CXCR6","MSR1","TPSAB1","CCL12","MS4A4C","SLFN4","KLRB1A","CD28","HELLS","PRRX1","TRAV7-5","LEF1"
"14","IGKV6-15","LTF","HGF","ITGAX","CPE","EAR2","HAMP","DCN","KLRC3","CLEC7A","MS4A2","GPR84","GM9733","MIRT2","KLRB1C","IL2RB","MTFR2","GLYCAM1","CD3D","CD3D"
"15","PAX5","OLFR503","DEFB40","CXCL16","EMCN","IL5RA","2210407C18RIK","ENPP2","KLRK1","MS4A8A","MRGPRA4","GPR165","ACE","CHIL1","KLRK1","ICOS","MYB","PI15","CD2","THEMIS"
"16","IGKV12-46","BEX6","CCL4","CD74","KLHL4","CYP4F18","ME1","IL33","CAR2","ADGRE1","MAOB","CX3CR1","IFI204","CLEC4E","KLRD1","CD3E","MC5R","DCN","CD3E","TCF7"
"17","IGHD","HIST1H4F","IL6","CIITA","CAV1","ADGRE1","H2-M2","C4B","KLRB1F","EAR2","CYP11A1","MERTK","MS4A6D","TREM1","KLRC1","GIMAP3","CD34","INMT","MS4A4B","IL2RB"
"18","IGLV1","SIGLECH","AQP9","MPEG1","ENPP2","GM5150","WFDC18","BGN","CCL5","IFITM6","GCSAM","FCGR1","CSF1R","LCN2","SAMD3","MS4A4B","EMCN","ECM2","ART2B","CD3E"
"19","IGKV4-57-1","ARPP21","GATA2","H2-DMB2","CD36","BANK1","KRT18","COL1A2","IL2RB","WFDC17","CD200R3","GPR34","GM14548","DHRS9","TRDJ1","CD2","TOP2A","OGN","CD6","CD7"
"20","IGLJ1","KMO","CYP4F18","SLAMF7","TSPAN7","C3AR1","SERPINB12","COL3A1","KLRD1","DPEP2","IL1RL1","C3AR1","HPGD","CLEC5A","KLRA6","KLRK1","CDCA7","FHL5","GIMAP3","ART2B"
"21","IGKV8-24","MMP8","CCL3","PLD4","TM4SF1","SLCO4C1","PTPRQ","CLU","CLNK","CSF1R","KCNE3","TSPAN7","TLR8","LTF","KLRE1","CD3D","CENPH","RGS5","CD96","CD96"
"22","POU2AF1","TOP2A","CCR1","CD209A","ACKR4","PADI4","PERP","HTRA1","CD160","PLA2G7","RAB27B","CSF1R","LY6I","HP","TRDC","TBX21","MYCT1","ARHGAP42","LCK","LCK"
"23","IGKV6-17","BLNK","ALOX15","LY86","RAMP2","CCL6","ASCL1","CP","GZMA","PILRA","CTSG","BHLHE41","CD300LD","SLC40A1","CCL5","IFI208","BUB1","TAGLN","TRAJ44","TRAT1"
"24","IGLV2","TFRC","IGSF6","IFI205","CLU","A530064D06RIK","DSP","ECM2","KLRI1","C5AR1","HS6ST2","GAL3ST4","PLBD1","CCR1","KHDC1A","TXK","HIST1H2AB","IGFBP7","SLFN1","TRAC"
"25","IGLV3","MPEG1","IL1RL1","CD68","MYCT1","P2RY14","KRT5","SCN7A","NKG7","CD5L","SMPX","P2RY12","CCR2","GM14548","IL2RB","CD40LG","HIST1H3H","CAV1","LAT","CXCR6"
"26","FCRLA","MPO","HDC","RGS1","IGFBP7","PLA2G7","FEZF2","CYR61","CTSW","CCL6","SLC6A4","SLCO2B1","TLR7","IFITM6","KLRB1B","THEMIS","CTSG","ACTA2","MS4A6B","GIMAP3"
"27","CD22","EBF1","SLC18A2","IFI30","GPR182","4732465J04RIK","TNC","PRRX1","FASL","FCGR4","MRGPRX1","SPARC","PLD4","I830127L07RIK","KLRA4","PVRIG","MEIS1","TIMP3","ITK","CD2"
"28","CXCR5","MYB","CD7","RNASE6","CYR61","EAR6","SERPINB2","IGFBP7","GZMB","CD300LD","CCL7","RASGRP3","PLA2G7","IL1B","MS4A4B","GIMAP4","PRIM1","PDGFRB","IL2RB","TXK"
"29","IGKV6-32","HIST1H1B","CCL6","NLRP1C-PS","TIMP3","F630028O10RIK","SFRP1","IGFBP5","KLRA5","MS4A6D","CCL2","TMEM100","MPEG1","SLFN1","NKG7","FASL","KIF11","IGFBP5","IFI214","CTSW"
"30","CR2","XRCC6","CCR3","HAVCR2","ARHGAP29","RETNLA","DSG2","ABI3BP","CD96","MPEG1","SLC18A2","UPK1B","CHIL3","LOC100038947","TRDV4","CD96","NCAPG","CHRDL1","SIDT1","FAM169B"
"31","BANK1","CLEC12A","SLC7A8","CD83","FABP4","SERPINB2","CALCB","SPARC","CD69","CFH","HPGDS","ITGB5","TLR13","MCEMP1","ADAMTS14","CAMK4","NUF2","SPARC","TXK","ZAP70"
"32","IGKV8-28","PAX5","IFITM1","FMNL2","CP","ADORA3","CLCA3B","NFIB","TXK","LY86","GNAI1","SLC40A1","PILRA","CSF3R","IL18RAP","ZAP70","F630028O10RIK","AOC3","FAM169B","CAMK4"
"33","CD79B","GRIA3","CLDN1","IFI207","LRG1","HACD4","EAR1","DES","GIMAP3","H2-AA","HDC","CLEC5A","CLEC4E","CLEC7A","KLRC2","KLRA5","CHEK1","GUCY1A3","DAPL1","MS4A4B"
"34","IGHV1-55","BCL11A","HTR1B","CYBB","TNC","TMEM154","SKINT2","PCOLCE","PVRIG","KLRA2","FAM198B","ADAP2","ZFYVE9","ASPRV1","TBX21","LCK","MCM7","RGS4","THY1","ITK"
"35","LY6D","IFITM6","OSM","KLRI1","CYP1B1","ALOX5","LYPD8","THBS2","CYSLTR2","ABCA9","PAPSS2","ABCA9","FPR2","CD300LF","CMA1","GIMAP7","HIST1H1B","FABP4","GIMAP4","GIMAP4"
"36","IGKV14-111","LY86","LILR4B","GRK3","PLK2","CLEC12A","TIMP3","STEAP4","CD7","LOC100038947","ADORA3","HEXB","ADGRE1","ARG2","CD2","ITK","BCL11A","CYR61","UBASH3A","CCR8"
"37","SCD1","CD93","HACD4","RAB7B","TIE1","ADAMDEC1","TRIM29","ADH1","RGS1","F13A1","MEIS2","TLR7","CLEC7A","A530064D06RIK","KLRA3","LAX1","IGFBP4","MFAP5","TRAV15-1-DV6-1","RASGRP1"
"38","CHST3","IL18RAP","CCL9","TIFAB","JAM3","CD24A","FOXN1","PI15","TBX21","TBXAS1","GRIK2","AGMO","LY86","MMP9","TXK","A630023P12RIK","GM11451","FSTL1","ST8SIA1","GATA3"
"39","BTLA","UHRF1","IL18R1","JAML","NFIB","RFLNB","ITGB8","COL1A1","RORA","LYZ2","PRSS34","LY86","CYBB","LRG1","KLRB1F","CTSW","KIF15","PRELP","GRAP2","LAT"
"40","IGLC1","IL12A","ALOX5","TLR11","DSG2","PSTPIP2","H2-EB2","SERPINA3N","IL7R","CFP","CREB3L1","CCR5","LYZ2","FCGR4","SERPINB9B","CCL5","HIST1H4F","SDC2","SKAP1","IKZF3"
"41","EBF1","MKI67","DMXL2","ANPEP","SDPR","IL1RL1","SPRR1A","OSMR","ICOS","AGMO","EDNRA","CFH","SIRPB1A","MGAM","CTSW","CD4","SUSD1","MEOX2","CAMK4","SKAP1"
"42","H2-DMB2","GM4759","E2F8","UGT1A7C","TEK","MMP9","DSC3","FSTL1","IL18R1","PLTP","STARD13","LAIR1","CLEC12A","PILRA","GIMAP3","SKAP1","ICA1","NID1","RASGRP1","TRDV4"
"43","BLK","ADGRG1","SLC6A4","AIF1","GJA1","B430306N03RIK","DNASE1L3","CHRDL1","PRF1","TLR7","ERV3","HPGD","CYP4F18","GM38525","FASL","SAMD3","FADS2","RHOJ","CD27","NKG7"
"44","H2-AA","KIF11","SLC24A3","SLC46A3","RND1","TBXAS1","GP2","OGN","ADGRG5","PLD4","D330045A20RIK","LGMN","HP","CD300LD","SYTL3","CD6","RAB38","EBF1","ZAP70","CD27"
"45","IGKV5-48","CD34","CSF1","DPP4","SPARC","OLR1","MT2","SHISA3","MS4A4B","CD68","IL6","F11R","UGT1A7C","GDA","STYK1","ATP8A2","HLF","DES","FAM78A","IKZF2"
"46","IGHV1-42","KNL1","KCNJ2","CTSS","SEMA3A","P2RX1","CDH1","TNFAIP6","KLRC2","LRP1","DNM3","BCO2","TIFAB","SIGLECE","CD7","LEF1","MCM6","IL6","TRAT1","CD28"
"47","IGHV8-8","HIST1H2BB","IL18RAP","CD86","LAMA4","TMEM71","GPX3","PRELP","GIMAP4","SLC11A1","HRH4","CCL3","GM6377","9830107B12RIK","CCR5","IL7R","CCNA2","SCN7A","CCR7","CD5"
"48","KMO","IL7R","ALOX8","CLEC9A","CLCA3A1","TLR13","H2-AA","ARHGAP42","CD200R4","IGSF6","PLA2G7","CRYBB1","FCGR4","C5AR1","CLNK","GATA3","CD27","ABCC9","TRAV14-1","TRDV1"
"49","SPIB","ADGRG3","CCL17","HCK","GPM6A","ADAM8","1810011O10RIK","ABCC9","P2RY10","CYBB","PILRA","STAB1","GRK3","SCRG1","GIMAP4","SLFN1","LMO2","MGP","2010016I18RIK","PRKCH"
"50","IGKV8-30","SNORD22","NPL","ART2A-PS","STAB1","SIGLECF","SLC24A4","C1RA","CD226","H2-AB1","KIT","SERPINE2","ARHGEF37","KLRA2","KLRA5","IFNG","TIPIN","STEAP4","ICOS","CD226"
"51","IGHV1-85","KIF15","P2RY14","ADGRE4","FLT4","HCK","FERMT1","AEBP1","LCK","SDC3","A630033H20RIK","MPEG1","IFI207","KLRA17","CAR2","IKZF3","CD93","ANO1","SLAMF6","THY1"
"52","H2-AB1","AFF3","CSF2RB2","IL13RA1","APOLD1","SEMA7A","KRT14","ADAMTS5","SERPINB6B","ADGRE4","GATA2","PTGS1","IGSF6","TRIM30B","CAR5B","KLRD1","CSF3R","EDNRA","CD226","KLRD1"
"53","B3GNT5","HELLS","PADI2","GATM","PGM5","LILR4B","PLAGL1","TSPAN7","AW112010","IFI207","RNF128","GM10790","MSR1","PLA2G7","KLRA1","INPP4B","RGS18","GUCY1B3","PRKCQ","SH2D2A"
"54","IGKV10-94","CDK6","C5AR1","RASSF4","MEOX1","MMP25","H2-AB1","MS4A4D","CCL3","PROS1","CD200R4","TLR13","CD68","B430306N03RIK","IL12RB2","SERPINA3F","POLE","LOX","LOC102639543","PRKCQ"
"55","IGLC2","SNORD87","IGFBP7","TLR13","RASSF9","PIRB","EPCAM","FBN1","IL12RB2","FN1","SLC7A8","PLD4","CEACAM1","HDC","AW112010","ART2A-PS","ERG","CPE","S1PR1","GRAP2"
"56","BLNK","SNORA75","CD200R4","PMAIP1","SERPINA3N","RNF144B","AOC1","NID1","SH2D2A","GM14548","PCBD1","TBXAS1","CCL6","TLR13","ITGA2","CYSLTR2","GCNT2","OSMR","IL7R","BLK"
"57","IGKV5-45","FADS2","RGS1","H2-DMB1","ARHGAP42","CD300LB","KRT8","LPL","GJB2","GDA","HS3ST1","AIF1","IFI205","LILRA6","ITGAX","THY1","C330027C09RIK","ADAMTS12","NSG2","IL7R"
"58","IGKV4-69","ADGRL4","TACSTD2","P2RY10","RHOJ","WFDC17","ARHGAP42","SDC2","SERPINB9","UGT1A7C","ALOX5","HAVCR2","HCK","TREM3","LCK","GM4759","UGT1A7C","RARRES2","BCL11B","CD247"
"59","RALGPS2","RETNLG","MBOAT1","IFI211","DAB2","CYBB","CCL25","SPON1","GEM","TLR13","NR4A2","RAB3IL1","SLC11A1","CD33","IL18R1","NKG7","TPX2","MUSTN1","TRAV8N-2","TOX"
"60","CD74","SOX4","ADGRG3","TBC1D8","OSMR","ITGAM","CXCL9","SRPX","CD38","MAFB","PMP22","P2RY6","C3","BMX","CLDND2","SH2D2A","ADGRG3","MS4A4D","IKZF3","MYB"
"61","CD2","HIST1H2AB","ITK","FSCN1","FSTL1","REPS2","IGFBP5","GPX3","SH2D1B1","CCR1","CD33","CTSS","FGR","CD300LB","IKZF3","ASB2","CDCA5","GPX3","SH2D2A","TRDV2-2"
"62","H2-OB","TSPAN2","LILRB4A","KLRD1","NID1","SLPI","SCD1","DDR2","RASGRP1","TFEC","LILR4B","CD68","FN1","IL1R2","S1PR5","CD5","ALOX5AP","MYH11","IFI208","DPP4"
"63","SIGLECG","CXCR2","SYTL3","RND3","RASIP1","AQP9","SLCO2A1","PAMR1","IKZF3","FABP4","RGS18","PROS1","MS4A6C","F630028O10RIK","SERPINB9","IFI214","PBK","EPAS1","TRDC","P2RY10"
"64","CPM","ATP2B4","RAB44","SLAMF8","1810011O10RIK","RASGRP4","CXCL10","FMOD","ITK","SHTN1","ANPEP","ADGRE1","SH2D1B1","UGT1A7C","CCR2","RASGRP1","GRIA3","CP","EHD3","CD6"
"65","FCER2A","H2-OB","PERP","CLEC12A","RASGRP3","LPCAT2","MEIS2","SVEP1","AOAH","HACD4","IL13","LPCAT2","LRP1","WFDC17","CD96","CCR9","CPA3","COL1A2","INPP4B","CRTAM"
"66","IKZF3","SNORA34","NXPE4","SCPEP1","EGFL7","I830077J02RIK","HHIP","C3","GM4759","FPR2","MT2","SLC7A8","LDLRAD3","CCL6","ITGAM","IL18RAP","SOX4","HTRA1","GRAMD3","MS4A6B"
"67","LY86","SELL","TMEM71","CCR5","GDF10","SYNE1","FABP4","IGFBP3","GPR132","LILR4B","GPM6A","RNASE4","IFI211","GPR141","GM4759","IL12RB2","PRC1","P3H2","KCNN4","SELL"
"68","KYNU","CD27","IL7R","PLXNC1","EPHB4","RAB44","CRIP3","CCDC80","SLAMF7","IL1A","SERPINB1A","CAPN3","ITGAM","UGT1A6B","PVRIG","KLRC3","BUB1B","ANTXR1","SATB1","TOP2A"
"69","GIMAP3","CMAH","MYO1D","CCDC88A","CFB","CD300LD","SKINT3","DACT1","ITGAX","CYSLTR1","COBL","CD33","I830127L07RIK","PADI4","KLRI1","IL2RA","ADGRG7","MT2","GATA3","IGFBP4"
"70","H2-EB1","DTL","GM10130","CTSH","EHD2","MYADM","ACHE","DPEP1","CD3G","MYOF","NA.9","PMP22","PILRB1","BST1","GM6637","XCL1","MCM3","SEMA5A","TRBV29","IL21R"
"71","FCRL1","PLAC8","GPC4","GM14548","BGN","ALOX5AP","MPZL2","MMP2","DGAT1","LYZ1","PILRB2","PLXDC2","IL13RA1","4732465J04RIK","HEATR9","GZMB","LBP","LUM","PRKCH","NT5E"
"72","CD55","CDCA7","P2RX1","H2-EB2","TSPAN12","PYGL","BC023105","IL1R1","LILR4B","FCNA","TARM1","CD14","H2-AA","PHOSPHO1","OSBPL3","PRKCQ","SKA3","VTN","GM4759","TRAV15-2-DV6-2"
"73","CD38","CCNA2","ATP1A3","PAK1","CYYR1","ABCC2","PTPRZ1","SFRP2","ASB2","PMP22","TIAM2","ITGAM","P2RY6","CD101","LAX1","LOC102639543","TBXAS1","CRYAB","TRAJ57","LAX1"
"74","IFI214","LAX1","GRM6","ADAM8","F11R","GM10384","SERPINA3I","IFI205","SKAP1","CD14","ATP6V0D2","FSCN1","IL1B","PILRB2","ARL4D","SLAMF7","SLC22A3","LAMA2","IFI209","GM4759"
"75","CD180","HIST1H3D","CCR2","PTGS2","LBP","CAMK1","SIX1","LAMA4","CCR5","RAB7B","SLC4A4","P3H2","HPSE","ITGAM","KLRA10","CCR2","WDR12","CCDC80","SH2D1A","5830411N06RIK"
"76","BCL11A","CYBB","L1CAM","PIRB","CD55","RGS18","ESRP1","MAOB","ACPP","F630028O10RIK","NR4A3","ADGRG1","S100A4","RDH12","TCRG-C4","LAT","PLAC8","CFH","IFT80","EPHX1"
"77","IGHV1-64","PCLAF","GPR183","ALOX5AP","PODXL","SLC7A11","PTGS2","PLPP1","ZAP70","LGMN","OLFR915","LTC4S","PLAC8","SLCO4C1","AOAH","ZBTB16","KNL1","IFI205","GPR174","AI504432"
"78","RASGRP3","NCAPG","LOC102636309","ADAP2","COL12A1","FCGR3","CLDN1","FN1","RLN3","AXL","KCNQ1","SLAMF9","CX3CR1","MPEG1","SH2D1B1","MS4A6B","KIF2C","EPHA3","DGKA","GBP4"
"79","MS4A4C","SNORD38A","IL1A","MARCKS","BMP2","ABCD2","DIO1","RARRES2","TRDC","CLEC12A","CHPT1","UGT1A7C","CSF3R","LILR4B","NRARP","RGS1","PAK1","SUSD2","SELL","CD160"
"80","IGKV4-57","SNORD15A","GSTM1","TRAF1","SERPINA1B","SNORA33","PARM1","IL6","KIT","FCGR3","RGS1","OPHN1","IFITM3","PILRB1","SH2D2A","TCF7","CTLA2A","NAALAD2","CD247","BCL11B"
"81","CYBB","LYZ2","NLRP3","BTLA","CLDN5","IGSF6","TCAF2","CLDN1","EPAS1","RETNLA","TPSG1","SLC11A1","GDA","SGMS2","SERPINB6B","GRAMD3","I730030J21RIK","FBN1","ACTN1","IFT80"
"82","RNASE6","HIST2H2BB","IL4","APP","NTS","GLIPR1","STRIP2","GAS6","TERC","CD74","P2RX1","CSF3R","GM5150","IFITM1","CD244","BTBD11","BTK","GPX8","GBP4","KCNN4"
"83","BCAR3","TIFAB","ADGRG1","THEMIS2","CASP12","SLC40A1","MUC1","CYP1B1","IL18RAP","CTSS","FAM110C","SIGLECE","TPD52","ALOX5","KLF12","SYTL2","BEX6","ITGA1","IL21R","SEPT1"
"84","DENND5B","MCTP2","CD200R1","CYP27A1","CLEC1A","KRT80","SLC46A2","CDH11","TRAC","APOE","PLAU","MAFB","PIRB","PLBD1","SCIMP","IL18R1","MIRA","AGTR1A","ITM2A","TESPA1"
"85","BACH2","F630028O10RIK","ITGA2","IL1B","NXPE2","PGLYRP1","EYA1","COL6A3","FCER1G","CD302","I830077J02RIK","1810011O10RIK","CD209A","HACD4","SLAMF7","LY6A","SELL","DDR2","GIMAP7","GIMAP6"
"86","MYO1E","SNORD61","SLC41A3","SPI1","LTBP4","CHPT1","CYP2G1","EFEMP1","SCARNA13","GM6377","EGR2","HFE","RNASE6","IL1RN","GIMAP7","CD27","WEE1","PLPP3","DZIP1","LOC102639543"
"87","PIK3C2B","TESPA1","ALOX5AP","CD180","STAP2","SIGLECG","CDHR1","MMP14","TCF7","APP","PSTPIP2","RGS1","TREM3","PRAM1","GM4956","CD7","IFITM3","FERMT2","NKG7","CCR4"
"88","IRF4","IGFBP4","RNF144B","CCL22","TGM2","ADGRG6","CD74","MGST1","SERPINA3G","ABCD2","CD55","RHOB","LILRB4A","ANKRD22","I830127L07RIK","DTX1","CDK6","COL1A1","TESPA1","PTPRCAP"
"89","AFF3","NUSAP1","MT2","CLEC7A","TJP1","HGF","NPAS2","GSTM2","GM6637","ADAP2","LILRB4A","BLNK","PSTPIP2","LYZ2","ITK","IFI209","PRKAR2B","NOTCH3","IL6ST","IPCEF1"
"90","IGKV4-91","MCM6","CD69","ZC3H12C","ADGRL4","DACH1","KCNJ15","VCAM1","KLRE1","IGF1","OLR1","SGCE","F630028O10RIK","H2-Q10","PRDM1","GIMAP6","LYZ2","NFIB","BTLA","ST8SIA1"
"91","IGKV8-21","CDCA8","DGKG","IFI209","KLRB1F","IL4","IL2RA","EBF1","SNORA21","TRF","SLC24A3","GOLM1","SLFN1","PSTPIP2","SELL","TMEM154","IFITM1","PDE3A","LY6A","ABLIM1"
"92","IFI209","BFSP2","F630028O10RIK","FGL2","LDB2","SELENOM","H2-DMB2","ANTXR1","CD2","LILRB4A","CD34","TIFAB","ABCA9","IL18RAP","ATP1B1","IPCEF1","RRM1","PLS3","CMAH","ETS1"
"93","IGHV13-2","ERG","E330020D12RIK","LACC1","THBS1","IKZF3","CSN2","PDGFRB","EMB","RASGRP3","CD200R1","CTSL","TGFBI","IGSF6","SKAP1","GM4956","GM10384","MYO1B","SLAMF1","TRAJ49"
"94","GIMAP4","CENPH","LOC105246089","MYOF","IL33","P2RY10","IFI211","DSC2","CD27","ITGAM","ADAMTS9","CCL4","PID1","S100A6","PRKCQ","PRKCH","NCAPG2","C7","GIMAP6","SLAMF6"
"95","CD72","CD24A","CD226","GBP8","CES2E","TGFBI","CYSLTR2","ANO1","NT5E","ALOX5AP","CD69","CD83","CCL9","GM9733","SPRY2","GBP4","GPR171","EHD2","P2RY10","TRAV21-DV12"
"96","WDFY4","GPR171","ITGA2B","CCL5","MEOX2","CD300LF","RGS5","CFB","THY1","CCL9","SLC6A12","SCAMP5","MS4A6B","IL13RA1","SULF2","TESPA1","POLA1","SYNPO2","FAM65B","ACAP1"
"97","SLAMF6","BUB1","FCGR3","P3H2","PLPP1","AHR","HSPA1A","TENM3","CD200R1","PIRB","NT5DC2","SPINT1","WFDC17","PTAFR","CD200R4","TRAT1","CDCA7L","H2-M9","DPP4","PGLYRP2"
"98","IGHV3-8","H2AFY","EMILIN2","P2RY6","NCKAP1","PRKCQ","PROKR2","MFGE8","TMEM176B","CD33","ITGA9","JAM2","RASSF4","SFXN5","IFI214","ITGAL","WDFY4","ABI3BP","AFF3","TNFSF8"
"99","IGKV6-13","RNASE6","PRSS34","CCR2","CES2G","FGD4","UCMA","SLCO2B1","BHLHE40","IFITM3","LXN","ANXA3","IFI30","CHIL3","LOC102639543","EHD3","GM4759","TMEM47","ETS1","IFI208"
"100","RUBCNL","MGST2","CD244","LYZ2","NPR1","CD80","GJB2","TIMP3","TMEM176A","PLBD1","GP1BA","PMEPA1","IFI209","SLC7A11","FCER1G","AW112010","SPI1","SORBS2","SEPT1","SOX4"
"101","RASGRP1","IGHD","RGS18","TREML4","CRIP2","SPI1","H2-EB1","IGFBP4","TESPA1","IFI211","MYB","ANG","ALOX5AP","WFDC21","TCF7","PDE3B","PLXNC1","OLFML2B","CPM","SH2D1A"
"102","FAM169B","CD79A","FADS2","CD36","EPAS1","LILRB4A","SKINT7","RHOJ","GIMAP7","IL13RA1","ECM1","FCGR3","ATP1A3","SLC11A1","GEM","AIM1","FIGNL1","GPC6","ABLIM1","I730030J21RIK"
"103","TRIM30B","GPHN","TERC","TMEM176B","LIFR","CPD","MREG","MUSTN1","TNFRSF18","BST1","OSM","LAG3","PILRB2","NLRP3","ZAP70","IL17RB","TFEC","COL6A3","MS4A4C","SLA2"
"104","SLC9A7","RGS18","SLC6A9","I830077J02RIK","IIGP1","PILRB1","LYZ1","FAP","GATA3","RASSF4","LAT2","CD300C2","CD244","MGST1","RASGRP1","SERPINA3G","MKI67","GUCY1A2","GBP8","IFI209"
"105","GM4759","LY6G","ATP1B1","GBP4","ADAMTS1","PILRB2","DMRT2","MEOX2","CD244","PSTPIP2","LY6A","TJP1","NAIP6","STEAP4","GATA3","SIDT1","GATM","ABCA8A","IPCEF1","NLRC3"
"106","IGHM","C330027C09RIK","I730030J21RIK","NOSTRIN","EFNB2","RNASE12","SERPINB10","NAALAD2","NLRC3","ALOX5","F830045P16RIK","CD180","FCGR1","MMP25","STAT4","MCTP2","MCTP1","C3","RASAL3","ACTN1"
"107","CD24A","DPP4","PTGS2","NR4A3","FERMT2","MIR505","IFI205","FKBP9","TAF9B","CCR5","HS3ST3A1","CYSLTR1","CD74","PIRB","IFI209","DDX43","PLA2G4A","THBS2","TNFSF8","GIMAP9"
"108","TLR9","BLK","OTUB2","CSF1R","PRELP","SELL","SPIB","MYL9","SULF2","LTC4S","GNA14","CD34","CD300C2","IFI204","HSD11B1","GBP8","NOP58","CXCL13","TRBV4","SLAMF7"
"109","CIITA","TIFA","F630111L10RIK","NAPSA","SH3GL3","RNASE6","DCN","MME","STAT4","H2-EB1","EFNB2","IL13RA1","SPI1","CLEC12A","SH2D1A","DZIP1","CD24A","THBS1","ACAP1","GBP8"
"110","MEF2C","TIPIN","P2RY10","MS4A6C","PTPRK","MGST1","RAB15","EPAS1","SYTL3","FCGR2B","ACER3","TREM2","NFAM1","TNFAIP2","SERPINA3G","SATB1","SPNS2","COL12A1","IL27RA","CXCR3"
"111","PLD4","ECT2","CTSE","EAR2","GIMAP4","FER","GM6166","GPX8","GIMAP6","HMOX1","TESPA1","CD86","LYZ1","CYBB","CTLA2A","ABCB1A","NKG7","CALD1","TMEM71","TNFSF10"
"112","A530040E14RIK","N-R5S136","SELL","SCIMP","MET","FCGR2B","NOS2","MT2","LILRB4A","MGST1","LY96","MTUS1","CD300LB","FGL2","FGL2","SEPT1","TRIP13","PAKAP","DTX1","ID3"
"113","P2RY10","STIL","ADAM8","TLR9","MEIS2","GM9733","CLCA3A2","LPAR1","GPR183","CTNND1","PROS1","MS4A6D","MGST1","PI16","SYTL2","RORA","TMEM176B","CXCL9","LAX1","LTB"
"114","GIMAP7","POLE","CSF2RB","CYTIP","EDN1","AB124611","HSP25-PS1","BMPR1A","I730030J21RIK","IFI30","ST6GALNAC3","TGFBR1","GM5431","THBS1","TYROBP","ARL4D","HMMR","ISLR","CARMIL2","PDE7A"
"115","SELL","I830127L07RIK","CD63","TYROBP","AW551984","ITGA2","ALOX15","ITIH5","F2RL2","PLXNB2","FAR2","RAPGEF5","H2-AB1","CYP4F18","GPR174","ADAM19","MMRN1","CASP12","AIM1","IL6ST"
