"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"1101",NA,"KCNN4",NA,"TUBB2B",NA,NA,NA,NA,"KLF4","NLRP1C-PS",NA,NA,"CAPN1",NA,"RIC1","FARSB","MTF2",NA,"LPCAT4","SLC25A23"
"1102",NA,"SLC40A1",NA,"DNAJC10",NA,NA,NA,NA,"LAMTOR4","QSER1",NA,NA,"ATP2A3",NA,"STK4","OAS2","PNPT1",NA,"NCOA1","ATAD5"
"1103",NA,"FEN1",NA,"FGD3",NA,NA,NA,NA,"NAIP6","SNX7",NA,NA,"CD300E",NA,"TCN2","RCN1","CDCA3",NA,"SNORD87","CRIM1"
"1104",NA,"HPSE",NA,"GUSB",NA,NA,NA,NA,"LAT2","HSD17B4",NA,NA,"P4HA1",NA,"CPEB2","SF3B2","SMC5",NA,"TBC1D19","NT5DC2"
"1105",NA,"ASF1B",NA,"CCT3",NA,NA,NA,NA,"SRPK2","ITM2C",NA,NA,"TCF7L2",NA,"MS4A4A","TMEM173","STT3A",NA,"ARMC7","PPP6C"
"1106",NA,"SLC41A2",NA,"ATP5C1",NA,NA,NA,NA,"GNPDA2","LFNG",NA,NA,"DDX58",NA,"PHF1","TRAV15-1-DV6-1","NAA15",NA,"CRLF3","PSMB8"
"1107",NA,"SNORD104",NA,"BIRC6",NA,NA,NA,NA,"HHEX","MSMO1",NA,NA,"DIMT1",NA,"SLFN8","RPL19-PS10","NCAPH",NA,"HIST2H4","RNGTT"
"1108",NA,"FAM105A",NA,"SH3TC1",NA,NA,NA,NA,"MAML2","RTP4",NA,NA,"RPL8",NA,"UCK2","SNORA16A","SSR4",NA,"IRF1","SKIL"
"1109",NA,"SEMA4A",NA,"SPAG7",NA,NA,NA,NA,"NCF4","SESN1",NA,NA,"SLC15A4",NA,"ADAP1","TARS","TOMM70A",NA,"PRPS1","SLC17A9"
"1110",NA,"SLC27A1",NA,"WDR6",NA,NA,NA,NA,"SCAMP3","GM7618",NA,NA,"DENND5A",NA,"B3GNT7","RBM17","TXN1",NA,"RNF138","PDE5A"
"1111",NA,"SYNE2",NA,"CD69",NA,NA,NA,NA,"CHD7","LPIN1",NA,NA,"EIF2AK2",NA,"FARSB","RBM38","EMC2",NA,"SEMA4D","WDR44"
"1112",NA,"DPPA3",NA,"TMEM156",NA,NA,NA,NA,"MXD1","5430427O19RIK",NA,NA,"FAM78A",NA,"LATS2","ZFP146","GM9197",NA,"SND1","ZEB1"
"1113",NA,"MIS18A",NA,"B230217C12RIK",NA,NA,NA,NA,"PLCXD2","PARVB",NA,NA,"MIR6516",NA,"MBNL3","CERS4","RTCB",NA,"JADE2","CSRP1"
"1114",NA,"CCT6A",NA,"BAZ1A",NA,NA,NA,NA,NA,"RIC1",NA,NA,"USP6NL",NA,"PELI1","EXOC3","SAE1",NA,"PITPNM1","FKBP4"
"1115",NA,"TMPRSS3",NA,"CD1D1",NA,NA,NA,NA,NA,"TAF9B",NA,NA,NA,NA,"SNORD15A","MGAT4A","LOC102640277",NA,"RGCC","ZFPM1"
"1116",NA,"IGLC1",NA,"CD8A",NA,NA,NA,NA,NA,"COPZ2",NA,NA,NA,NA,"TCP11L2","MRPS34","C2CD5",NA,"SREBF2","DGKD"
"1117",NA,"MPP1",NA,"NFATC2",NA,NA,NA,NA,NA,"NR1D2",NA,NA,NA,NA,"2610008E11RIK","MTMR1","ITGB2",NA,"UTP4","PRCP"
"1118",NA,"RPS5",NA,"ETV6",NA,NA,NA,NA,NA,"DPY19L4",NA,NA,NA,NA,"TBC1D22B","PPT2","MRPL22",NA,"FAM208B","PTPN4"
"1119",NA,"MTA1",NA,"SPECC1L",NA,NA,NA,NA,NA,"HK3",NA,NA,NA,NA,"BCL6","RABGGTB","TIAM1",NA,"IRF4","LOC105246089"
"1120",NA,"NCAPH",NA,"UNC119",NA,NA,NA,NA,NA,"CORO2A",NA,NA,NA,NA,"HS3ST3B1","TSTD3","DSN1",NA,"LTV1","PBK"
"1121",NA,"PNN",NA,"VRK2",NA,NA,NA,NA,NA,"RASGRP4",NA,NA,NA,NA,"PTPRE","GM5182","GM4708",NA,"PPP4R2","RCBTB2"
"1122",NA,"RBM3",NA,"CAMK2D",NA,NA,NA,NA,NA,"SNORD49B",NA,NA,NA,NA,"RPL3-PS1","GM9197","LGALS9",NA,"CALU","SMC5"
"1123",NA,"SSTR2",NA,"CCL6",NA,NA,NA,NA,NA,"AI504432",NA,NA,NA,NA,"ZFP91","MRPS23","PRDX6",NA,"D330041H03RIK","1700017B05RIK"
"1124",NA,"ABI2",NA,"ZDHHC14",NA,NA,NA,NA,NA,"CSRP1",NA,NA,NA,NA,"BTG1","PPAT","ST7L",NA,"IPO11","HSD17B4"
"1125",NA,"BCL7A",NA,"APH1C",NA,NA,NA,NA,NA,"DAD1",NA,NA,NA,NA,"CCDC47","SESN1","CYP4V3",NA,"RNASEL","ADGRG1"
"1126",NA,"IPCEF1",NA,"CHST15",NA,NA,NA,NA,NA,"EXTL3",NA,NA,NA,NA,"HID1","ABI2","INTS2",NA,"RPS3","CD38"
"1127",NA,"ITPR2",NA,"DBNL",NA,NA,NA,NA,NA,"DDX10",NA,NA,NA,NA,"HPRT","SMARCAD1","USP10",NA,"SNORD47","TNFRSF1B"
"1128",NA,"IVNS1ABP",NA,"GSR",NA,NA,NA,NA,NA,"DEGS1",NA,NA,NA,NA,"MDH1","WWP1","ZFP971",NA,"AGGF1","ARHGEF18"
"1129",NA,"PLA2G4A",NA,"RACK1",NA,NA,NA,NA,NA,"CCT8",NA,NA,NA,NA,"METRNL","KLRI2","GM13181",NA,"CHCHD2","ZBTB1"
