"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"548","RHOBTB3","ZBED3","SLC41A1","BZW2","SMNDC1","CMAHP","BEND5","SRXN1","CECR1","TMEM30A","SPTBN1","ROMO1","CEP135","PSMC3","HNRNPA1","TROAP","GGCT","MPDU1","AZU1","IER2","ANKRD35","RNASE1","EIF5A","DNAAF2","UPK1B","CD99","CASP4","IL4R","MYO1C","ARHGAP29","PRSS12","TRAF3IP3","LYZ","JAZF1","C15ORF48","CORO1C","PIM3","DES","PNRC1","RWDD1"
"549","EGFR","CYBRD1","STAT5A","CEBPB","NINJ2","IMPA2","HEBP2","TBC1D9","DUSP6","PIK3C2B","FBP1","CELSR2","PFKP","MYH10","ANXA6","CNBD1","NPM3","CHPT1","PHGDH","LDHB","FAM83C","TNFSF14","C1ORF198","EHBP1L1","RBM47","PYGL","ITGAE","NME1","SERPINF1","ZNF536","FADS1","ZYX","ENPP4","RP9P","STEAP3","TPST2","HOMER3","LIMA1","SLC9A3R1","AMIGO2"
"550","EHD2","TRIM36","RAPGEF5","RYBP","RHOG","CCDC3","MS4A2","HVCN1","NEFM","PDGFB","TSPYL1","BCL2L1","CBLL1","ORC1","CYBA","DNAL4","PYGL","PALMD","C14ORF1","CYYR1","GAN","DDX60L","GATM","MPV17L","CPNE7","MAP3K5","GNG11","ANXA11","HSPB7","ELAVL4","DNAJC2","ZC3H12A","RPS16","RRAS","CARD16","CRIPAK","NDUFS8","MRPL23","CSGALNACT1","CPM"
"551","FHL5","SYT1","NOC3L","SPP1","C4ORF32","P4HA3","PFKP","ATP6V0C","FMNL2","ZSWIM6","GIPR","MARVELD2","KBTBD8","ATP5L","NGF","TPM1","TMEM97","SRD5A1","JUP","ACTA1","ATP6V0C","FAM129A","COL5A3","HMGN3","CNN2","SEMA4A","MORC2-AS1","MXD1","LEPR","TBC1D9","ATIC","GPR84","LSP1","LDOC1","GK","ZNF792","HSPG2","TSLP","HLA-DMA","MTHFD2"
"552","KLF15","PDE9A","TCEAL3","TSPO","ERAL1","CRISPLD1","PDGFC","LHFPL2","HJURP","HMOX1","RAB11B","UCP2","SLC12A7","CCDC14","S100A13","CXORF56","CLEC4A","HSD3B7","NOB1","PTN","PHGDH","CASP4","MID1","MAGED1","NCF2","CLEC10A","FAM171A1","SEMA4A","ANXA10","KANK4","FBXL7","C3AR1","STK17A","PRKCDBP","S100A4","OPTN","UQCRC1","PTK2","PRDX2","ZRSR2"
"553","HNRNPU","ZNF260","CD1D","DMXL2","SLAIN1","SH3BGRL3","FANCL","RGS10","UGP2","SKAP2","EEF1A1","GOLM1","DLEU1","MYL12B","ZNF460","ISOC1","TNFAIP8","SHMT1","UTRN","SLC35E3","SULT1A2","HLA-C","ABHD6","ARRDC4","RNPEPL1","RNASE2","SGK1","TRIAP1","OXTR","SNRPD1","EPDR1","YPEL3","MTHFD2","THBS3","HNRNPH1","WASF1","MEF2D","IL13RA1","UBL3","MIR22HG"
"554","DHCR24","ZC3H12C","POLD4","HNRNPCL1","CCDC138","MMP3","LDHB","NET1","SMAD7","FOXO1","RAB31","TUBB2A","HLA-J","BEX4","BSG","RUNDC3B","CCNA2","C14ORF1","BZW2","PALLD","CLTB","RNF135","HSPG2","SCML2","SLC20A2","RASSF3","GOLM1","CSTB","DYSF","NOX4","MFSD6","PPP1R15A","WIPI1","IFI16","LRIG1","MGAT4A","TRIM7","TSPYL1","FOXP1","PDIA5"
"555","CTSH","GPR137C","BANF1","HLA-DOB","RASSF5","FSCN1","PTGER4","VAV1","HLA-F-AS1","RGL1","RPS6KA2","AMOT","NEK7","EIF2S1","G0S2","TMEM60","MSRA","HIST1H1C","PRIM1","SGK1","ETS2","GPR183","IGSF8","CTNNAL1","PTGFRN","UTS2R","SNRPD1","SIRPA","TNNC2","ARMCX1","SDC1","VMP1","ZFPM1","CLEC3B","LYPD1","DUSP6","AGL","CLIC4","IL4R","PRDX4"
"556","EBF1","CCDC127","ITGAE","CCR1","PTTG3P","FKBP7","FAR2","TRIM22","E2F5","TP53INP2","RAB6A","CTNNB1","JAK2","FARSB","TNFRSF1A","TRMT5","FANCI","CEBPD","PNRC2","PANK1","OXCT1","ARHGAP30","CTNNA1","RPS4Y1","C1ORF186","GIMAP8","CSRP1","GBE1","ANK1","PBX1","ACTA2","ZCCHC6","STOM","GGCT","SKIL","LGALS12","HIST1H4C","MATN2","AMOT","TMIGD2"
"557","PCDH18","FAM69C","PJA1","LGALS1","TMEM14A","NDUFA3","NT5DC2","OSBPL1A","GPR19","TP53I3","CSF3R","PKIG","TADA1","MRPL13","STEAP1B","PPT2","BZW2","RDH16","PYGL","GNAI1","PPIF","HEXB","GYG2","MGLL","CTSC","RP9P","SNRPB2","LTA4H","COX6A2","MAL2","AMOTL2","GRN","PIP4K2A","EHD2","CD82","PLS3","IST1","PHGDH","MYC","RAPH1"
"558","GLDN","ASRGL1","SERPINB1","CEBPA","LYN","IFI44","BTN3A3","TFRC","AKR1B1","MSRB3","ARHGDIA","KLK7","MZT1","MTHFD2","MBNL1","PTPRK","TREM1","ASB13","TPGS2","IER3","KPNA2","FAM162A","PRR11","SELPLG","ERAP2","RNF19B","GAS6","ZNF367","TNFRSF10D","DKK3","C1ORF198","SLC40A1","MMD","GSTA4","S1PR2","BASP1","CHRNG","PTGIR","C5ORF56","ADAM12"
"559","NPR1","KLHDC9","SLC25A24","FGFBP2","TTLL12","CD9","CRLF3","IFNGR2","FBXO5","GINS1","PKN1","CKS2","HIST1H3B","TPRKB","SCARA5","CRELD2","CDC45","CAPZA2","MRPL45","HMGB3","LAPTM4B","ADM","C19ORF12","ACOT13","ANXA6","BANF1","RHOBTB3","MYD88","CYCS","CCND1","ZNF608","KREMEN1","BTG3","NEK7","RIPK2","DERA","PLCD4","BMP6","CLSTN1","GNAI1"
"560","ANXA2","KIF11","ENO2","WIPI1","BIN2","PRDX4","FAM50B","VDR","PRKCDBP","TMEM140","HSPA6","TNC","CTH","RPS16","PNMA2","ALAS1","CBFA2T3","CENPV","PLAGL1","ZNF738","MTHFD2","RAPH1","KAT2B","TTC8","HIST1H4C","IFITM1","AIM1","TAF9","RBM24","CDCA8","C14ORF166","FCGR2B","LILRB3","PAM","VEPH1","RILPL1","METTL7A","IST1","TUBE1","WDR31"
"561","NCF4","PRUNE2","DTX4","S1PR1","KYNU","TCEAL4","TBXAS1","INHBA","NUFIP1","HMMR","IQSEC1","TPBG","FAM214B","TMEM14B","ALCAM","TCTEX1D2","RNF125","TRIAP1","ELANE","TCEAL3","DENR","CYP27B1","PCYT1A","MBOAT2","MALAT1","RSAD2","ACOT13","ALYREF","CCBE1","KCNC1","IGF2R","IER2","LMNB1","USP53","UGDH","SMNDC1","RAMP3","SDF4","LDOC1L","ZNF469"
"562","RASSF4","DPY19L1","PLEKHO1","ABCB10","LDHB","EHD2","CDT1","ITGAV","MAP2K6","GRK5","FAR2","CITED2","IER5","RPS19","SOCS2","ALMS1","S1PR4","IFIT1","ANXA3","MEIS2","SDHD","SDF4","PHLPP1","SLC43A1","SLC22A3","YPEL3","DOCK10","GAR1","PLAUR","FEZ1","AURKB","ARAP1","MPV17L","ACVR1","XYLT1","FCRL3","PBXIP1","BDKRB2","HNF1B","ANXA6"
"563","FMO2","GLCCI1","MTHFD2","SPINT2","SLC27A5","COL9A3","RRS1","CYSTM1","IER2","CKS2","DGKZ","BST2","MYLK2","YPEL4","TMEM200A","CKS2","LY96","KCNJ8","PQBP1","COX7B","SEMA5B","AHR","CPEB2","PSMB8","IFITM2","CD9","NRM","GGCT","PDCD1LG2","UNC119B","RELN","IFI44","CTSO","PDRG1","KCNG1","H1F0","SQRDL","NCOA7","IL6ST","HNRNPA0"
"564","CCND2","BCL9","RPS16","CDC20","CBLL1","RWDD1","MGLL","ALCAM","CCDC127","NFE2L3","SIPA1","SPTAN1","PPIP5K2","UBE2B","ADAMTSL1","ZFYVE21","ABHD14A","SPP2","EXOSC5","IGFBP7","ALOX12","MT1G","TOP2A","STOM","MRPL23","GAS7","PLP2","LRRK2","SLC4A7","GAR1","CROCCP2","CARD8","PNRC1","MTHFD2","ZC3H12A","RGS2","RAB12","ARHGAP22","UTS2R","FAM189B"
"565","RNASE6","FNDC4","GEMIN6","LAIR1","FASTKD1","CAT","TMC8","ASAP1","LRCH2","MAD2L1","PPARA","PIR","CYSTM1","TMEM14A","TBX5","CLIP4","RRS1","SCD","MXD1","HAUS1","ATG2A","ARRDC4","NPL","COL6A5","PSPH","LGALS9","WASF3","ELMO1","RGS2","GGCT","EMILIN1","OLFM4","GPRIN3","SLIT2","SLC2A6","LIMS1","TAGLN","CPE","TADA2B","AREG"
"566","MRAP","SLC25A18","OXER1","ANP32B","PTGS1","EPYC","WAS","CKB","ANXA1","NME1","ADCY7","GRINA","NEAT1","DCP2","TWIST1","MSX1","RFC4","SLC28A1","RBM8A","C12ORF75","HSDL2","SLC27A3","GAPDHS","GLRX5","BIN1","IMPDH1","TNS3","PLP2","PTGR1","TSPAN11","POLE2","PLIN5","TRIM59","MARCKS","MARCH3","PTCRA","HIST2H2BE","PARVA","ASF1A","ATP6V0C"
"567","SOD3","VLDLR","VIM","CDC7","WAS","FBN2","TTC27","IL1R1","S100A13","POLR3K","CHST15","INPP5D","ESPL1","GAB3","C1ORF53","YPEL5","APOBEC3B","TMEM126A","SH3BGRL","GPRC5B","STEAP4","ATF3","CDC20","UBE2M","MRPL12","SAT1","COL16A1","GNAI2","TSTD1","SLC2A3","ZNF667","CSAD","NMT2","MOB1B","EPS8","SEPT6","JUP","RAB34","FARSB","EBF1"
"568","FGD2","BATF3","MYEF2","SLC6A8","LAT","DSG2","MARC1","CXXC5","VLDLR","LYSMD2","ZNF493","PNMT","NUDT19","PPT2","HDLBP","CIAPIN1","PLA2G4A","SLC27A5","DUSP10","RASL11B","FAM174A","NCKAP1","NCS1","ZNF273","PPFIBP1","BRI3","BMPR1A","LILRB3","HIST1H2BD","TADA1","MKKS","SH3BP2","CD44","ACVR2A","PRR11","STAMBPL1","KDM5C","KLHL5","STK17A","TUSC5"
"569","FGR","DBI","EPSTI1","IFITM2","MRPL37","CTRB2","ASB9","HS3ST2","IGDCC3","SULF2","SAMSN1","PTPN14","MGLL","GABARAPL2","CARD16","SH3BP5","CERK","SPR","SLC27A5","AK4","RGS2","SLC31A1","SYNGR1","MGST2","SEMA3F","FAM65B","TMEM30A","BANF1","AHR","TSPAN18","ACBD6","CEBPD","LSM7","ADAM9","TDO2","IRF2BPL","ZFP36","HECTD1","SUCLG2","ENPP2"
"570","GMFG","HLA-F","NCAPG","APEX1","RPF2","DFNA5","KLHL13","CAPN2","WDR54","HEBP2","IL4R","PHGDH","ABL1","TOMM5","TMEM173","HVCN1","DPYSL2","CXADR","SLC39A4","ENO2","DSE","CAT","AGRN","FAM162A","LMCD1","CYTH4","PRPS1","PPA1","CTSB","LDHB","FUBP1","CTSD","LAIR1","RAB21","CDC6","SLC12A7","HSPA9","MEGF6","TGFBR2","LRFN1"
"571","HNMT","NFIC","RP9P","ADRB2","TADA1","CHCHD10","CHST14","TXN","PTGES3","LPAR6","ZFPM1","IFITM1","GUSB","PAICS","QPRT","NCKAP1","LSM7","TMED7","EEF1D","MTHFD1","HIST1H2BD","TMEM206","ABL2","DSCC1","COMT","TAGAP","STAT4","NIT2","GPR1","HIST1H4C","CDCA7L","PSTPIP2","SOCS1","MVP","NPTX1","ACTN1","ASB16","MGLL","HIVEP2","AKR1B1"
"572","CD276","SMOC1","NUP210","GGCT","CCDC86","CXXC5","MICB","ELMO1","EXTL2","MGST2","ATP11A","HIST1H4D","PIM2","IKZF5","CST3","SKAP2","CD1D","ACBD5","CYTH4","ERBB3","SLTM","FUCA1","SRGN","IL18","RCN3","S1PR4","TMEM14A","FPR2","NALCN","FKBP3","RNASEH2A","ACTN1","CCDC127","WAS","SLC38A1","SH2B3","H2AFV","ASNS","ACTN1","EMX2"
"573","RPS16","CYSTM1","PPA1","HCP5","IFI44","FAM134B","ELOVL7","QSOX1","SLC35F1","LDLRAD3","FAM49B","CASK","CCNF","CCDC138","GGT5","SLC3A1","CHRDL1","TRIM22","NME1","MYEF2","HSPA1B","RHOC","ARHGEF40","LDHB","NUAK2","HMGB2","KIF18A","COX7B","GRAMD3","TNS3","TPBG","LINC00189","CRELD2","HCLS1","CST1","FAM129A","DDX3Y","SEMA3A","TUBA4A","C17ORF82"
"574","ZFP36L2","OSMR","PYCARD","FAIM","TMEM214","BOLA3","MCM7","SIGLEC9","PBK","MYADM","IQSEC2","LCP1","NDUFA3","DPCD","HMOX1","BMPR1A","STAT5A","ECI2","ATIC","GALNT7","SERPINA9","LINC00520","HDLBP","MTHFD2","CLU","RHOC","DPYSL2","MRPL23","DOK7","PRDX2","GNAI3","FCGRT","ZEB2","MAGED1","CTNNB1","TBC1D4","MAP7D1","SVIL","PIM1","CYFIP1"
"575","TNFAIP8","LDHB","SGPP1","PNP","CYBRD1","DNAJC30","PAFAH1B3","PAPSS2","CENPA","SPOCD1","HNRNPH1","TNFRSF10B","TESK2","U2SURP","RARRES3","TPD52","GUSB","SLC25A18","PDIA3","AIM1","LYPLA1","PAPSS2","CLIC1","MXD1","EMP3","ACSL5","LXN","NCAPG","HSP90AB1","HAUS1","ZNF260","CNN2","PPP1R18","TSPYL4","TNFRSF10B","BTBD6","RAPGEF1","SYT7","MYD88","SPARCL1"
"576","COL1A1","FAM150B","RPF2","RAB32","PLAGL1","RAB34","PYGL","HSPA1B","C1ORF54","NDUFA3","SEPT1","G6PD","NEIL3","PSENEN","RPL31","DAND5","PAG1","TMEM205","C6ORF62","COTL1","TPSAB1","CTNS","IGF2R","C1ORF198","DOCK9","SIDT2","SP2","ZFPM1","SHISA2","ZEB1","MRPL23","B2M","H1FX","ZCCHC24","GNAI1","TAOK3","LONRF3","SH3BGRL3","RICTOR","ANXA5"
"577","HLA-E","ENHO","RYBP","CPNE3","SGMS1","WIPI1","APP","NDP","AIM1","CDKN1A","ATP8B2","EFNB2","ARV1","GNG5","ASNS","LILRB3","C1ORF216","SCARB1","GYPC","QPRT","TSTD1","CD63","AHRR","CHEK1","ARHGAP29","OTUD1","FLNC","CDADC1","ALDH18A1","FAT4","MZT1","AATK","PDCD7","PEA15","TYMP","COTL1","KIAA0368","LRRN4CL","LGALS3","SERPINA9"
"578","CHI3L1","PSMB8","EGR1","RNASET2","TRIM65","C11ORF96","PTPRC","QPRT","HESX1","CDK2AP1","AKT1","PRKCH","SLC22A5","TIMM9","EGR1","CXORF23","CD81","TMEM97","HIST1H2BF","JARID2","CDH13","IRF2BPL","HSPA1B","VRK1","MIF","RPS16","TSPAN5","TMEM126A","WLS","PCBP4","TRIM2","TLR5","NAP1L5","MYADM","GIPC1","NID1","FBXO31","TMEM14A","KIF3A","SLC25A24"
"579","RGS2","TSHZ1","PBK","HIST1H3D","PDCD2L","LINGO3","CALN1","IER5","UBE2E2","CYSTM1","SIRPA","TMSB10","DDB2","CYP51A1","APOE","NUSAP1","NDC80","DECR1","ARHGAP30","BTBD3","MYD88","MARCO","BIRC5","C9ORF40","MYH10","TSPAN33","ALDH18A1","KIF20A","SRPK3","TUBA1A","PAQR6","KIAA0513","CMTM6","CHN1","HTR7","HCST","ADCY9","NDUFB7","NRBP2","PMEPA1"
"580","FAM114A1","GAB1","SUZ12","HSD17B11","TIMM13","ANXA2P2","IFI6","TNFRSF11A","SP5","HEBP1","SVIL","MAZ","EEF2K","PHB","CRYAB","SLC25A33","FBP1","ABCC3","TWISTNB","HJURP","GSTTP1","BHLHE40","CCNB2","CYBA","THBS2","BLVRB","CENPF","QSOX1","ANTXR2","KANSL1-AS1","SPRED3","PHF12","ZFP36","MGLL","SPECC1","IFI30","PSMC3","PPIA","CXCR1","FBLN1"
"581","PLTP","HMGN3","ARHGAP24","GPR146","YPEL4","ATP5J","IL12RB2","FNIP2","JARID2","PMAIP1","CARS2","GAS6","DCK","CTSC","GLS","HMMR","NUDT15","HMGN3","MIF","ZNF462","NFKBIZ","F3","SYNE2","CENPF","C6ORF132","PAG1","RPS16","CARD6","DUSP13","WNT5B","CELSR3","G6PD","ZNF468","EXOC3L2","CASP1","CMAHP","SERBP1","GOLM1","PIGP","FOSL1"
"582","MMD","EML6","DNAJC10","RPF2","MIF","PDE1A","SATB1","ZMIZ1","WASF1","PGM2L1","MBNL1","HSPA1B","PDRG1","WDR12","BCHE","MED25","DFNA5","CYP4A22","ATXN1","PSPH","AMMECR1","SPR","PARP10","HNRNPCL1","HOXA7","SLC29A3","SH3BGRL3","EMG1","SGCE","DZIP1","HSPA12A","PARP14","SGPP1","PRRG1","MCTP1","LITAF","LAPTM4B","PFKP","HLA-A","SATB2"
"583","CLIC4","LONRF2","MALT1","MELK","SNORD8","TRPS1","FNBP1L","BOLA3","SKA1","OSTF1","MAST3","CDCP1","FADS1","PPHLN1","DHCR24","OSCP1","MTHFD1","AKTIP","RPPH1","SLAIN1","ALG14","RASAL2","RASIP1","ZNF22","IMPDH1","SLC26A11","TPD52L1","DPY19L3","ARHGEF6","DPYSL4","APEX1","ATXN1","KLRC4","ANXA5","PSAT1","NPTN","TNXB","TMEM30A","TMSB10","CASP4"
"584","DOCK8","NRM","MAPK13","MRPL1","DOCK2","DDIT4","TSPAN32","EPHX1","RYBP","NUSAP1","ALDH3B1","NFE2L3","MAN1A1","HHLA3","CCBE1","SWT1","PRDX4","CHST13","MCM5","CHST4","GNAI3","ECM1","BCHE","FAM50B","ACTG1","OXER1","HEBP1","MFSD10","EDN1","BMP4","RMI2","NLRC5","TC2N","INHBB","CSMD1","MBNL3","CCDC28B","METRNL","RPLP2","LAPTM4B"
"585","PLIN5","SGCB","PDRG1","GLO1","KPNA2","RNF144A","JUN","ACSL5","RNF125","DRAM1","TUBGCP4","AKR1B10","JARID2","SELP","GPX3","SEMA4B","SP2","F11","RPL13A","GALNT12","NUDT19","EIF1B","MYH10","FKBP5","IGSF3","RNF125","NR2F2","HEBP1","MIR210HG","LRRC4","ZC3H4","TSC22D3","MESDC1","KLHL5","MBNL3","MAP4K1","FN1","HIST1H3A","TRIM59","KANK2"
"586","PRRX1","IDH1","SYT17","OCIAD2","PRPS2","C7ORF73","KLF10","CD58","RAB38","NDUFA1","EVL","GCHFR","AMY2B","FXYD5","HOXB-AS3","POLG2","RUNX3","HSBP1L1","MDK","DPPA2","CTRB2","NRIP3","KIFC3","ELMO1","CLK3","EAF2","F2R","RASAL3","SP100","NRIP1","TSPAN11","GPR160","SECISBP2L","FAM46A","ADAMTS19","CASP1","ALDH2","SFRP4","RGL4","FOXO1"
"587","FCGRT","ELAVL2","SPATA24","PCNA","SULT1A1","MTHFD2","PUS7","PRDM1","RRS1","TPSAB1","PTPN7","RPS27A","CDC42BPA","PNRC2","MYO1D","EFCAB7","FES","RARRES3","AKR1B1","SLC7A5","PRNP","CKAP4","FH","AGL","DCUN1D5","CRTAM","ASPM","RP9P","LRP1","EPCAM","ZC3H12C","CPEB4","EID3","ACAN","CTSB","TST","YPEL1","ATP13A3","PPA1","CDH2"
"588","TNS3","GDPD2","DDIT4","CPOX","UROD","SDF4","SNORA61","FTH1","KIR2DL3","KIAA1211","CTSG","MRPL23","HLA-F","ELOVL6","RRM2","LMBRD1","KLF10","DTX3L","IP6K2","EPPK1","METTL7A","BTG3","MYC","RACGAP1","VWA1","PF4","HSPA2","HLA-B","CXCL1","COTL1","RBMXL1","OGFRL1","LLPH","EPYC","TMEM98","PANX1","ENAH","RAB31","SAMD9L","CTSZ"
"589","KLF4","CA12","ZRSR2","LDHB","ABCC5","MVP","HSD17B11","TMEM140","RPRM","NUDT19","LILRA1","PKMYT1","NME4","OPTN","COL5A3","PPP1R3D","MEF2C","HSD17B8","CEP41","GRAMD3","PFN1","OPTN","ITGA6","ARHGEF6","KBTBD11","TPP1","MRPS6","HEBP2","ENPP4","GYG2","NANOS1","CD74","MBNL1","CLIP4","HNRNPA1","MFAP3L","PDK2","GPC1","SNRPD2","VASN"
"590","CCT5","KPNA2","CTSZ","SAMD9","BEND3","EVI2A","SNHG6","CARD16","CCNB1IP1","FADS3","WIPI1","HOMER2","KPNA2","SPG20","XG","MANSC1","WAS","PALM3","CFH","KIF14","RHBG","NDUFA3","SLC39A14","PNMT","CST3","ARHGEF3","PDGFRB","FANCI","C1S","SPRY2","ABAT","CAPG","SLC39A10","ANP32B","NTSR1","RAP1A","PEBP1","PEA15","GRK5","SLC16A4"
"591","AK4","NDUFA7","RPL22L1","SVIP","SELPLG","ADSSL1","ADRA2A","TSPO","CEBPZ","NDUFS6","SLFN13","RPS16","NEURL1B","ATF6B","PSD3","CBY1","FNBP1L","GSTO1","PDK2","CYBA","DYNLL1","BST2","GSN","APEX1","FAM84B","PIGP","RNASEH2A","CD99P1","MIF","CELSR2","RAP2A","IQGAP1","SLC44A2","NDUFS6","SLC22A4","TMEM91","GKAP1","BNIP3","MLKL","ADAM9"
"592","APOL6","IGSF5","SCPEP1","CLEC4E","GPATCH4","SNRPF","LGALS1","SETD1B","DZIP1","SEMA3F","ARSA","HSPG2","FBXO34","MRPL42","ROMO1","KIAA0922","FNBP1","TADA1","ABHD14B","FLVCR1-AS1","LINGO3","CORO1A","MC1R","MACROD1","GLIS3","TMEM176A","LLPH","CENPH","STMN1","TXNDC16","DNAJC9","DAPP1","ZNF367","SUMO4","ITGAV","FAM99B","DDIT4","CD14","SPDEF","CDK2AP1"
"593","DENND3","ZSWIM6","TEX9","CYBRD1","HMGN3","C1ORF198","ANXA6","TRPV2","ATIC","SDF4","EVI5","C10ORF99","SCML2","PHOSPHO1","CALU","C4ORF45","SLC25A24","TRNP1","CCDC28B","S100A4","MAFF","STARD4","PRDM7","LBR","LINC00116","CLEC2B","NCAPH","SNHG6","GAPDH","RCN2","SCML2","CCR3","HLA-A","CPQ","LURAP1L","TBPL1","IGF2R","MYO1E","ERAP2","METTL7A"
"594","FGFR1","DPY19L3","JUP","SUZ12","ATG9A","ARHGEF10","HMMR","EPAS1","RPA3","CD81","GLIPR2","CD276","SSX2IP","GLO1","LPAR1","HSPB11","ZNF22","CCNB1IP1","EXOSC8","TNFRSF12A","PNRC1","MPP1","SOX6","GUSB","TMSB10","IRF2BPL","SLC25A33","ABHD5","METTL7B","VCAM1","CASD1","MTMR3","SQRDL","RNF182","ADORA2B","RAB32","PGM5","TMEM176A","LINC00324","DUSP1"
"595","PLD3","CPNE2","QPCT","CLEC2D","CRTC3","RILPL1","IL12A","HK2","LITAF","PMS2P1","IMPDH1","EHD2","PARP2","ACSL6","HIST1H3B","TMEM126A","DUSP1","OCEL1","PSMA5","WDR12","SLC26A9","PIGP","TK1","ZBTB8A","PAWR","XAF1","HLA-F","CASP4","XIRP1","LDOC1L","AGPAT3","RAPGEF2","CXORF65","MLYCD","SDC2","HIST1H2BH","HEXIM2","GBP1","PCYOX1L","KLF2"
"596","HADH","MSRA","PRIM1","FHL2","HNRNPAB","RAPH1","ALDH2","STAC","MAMDC2","SHCBP1","AP1G2","RAB11B","CTSZ","FAM213A","ADAMTSL4","GYG1","NAP1L5","GOT1","PTPN2","SCGB3A2","SPNS2","CLDN23","MARVELD1","UBXN10","PDGFC","ICAM1","MAP3K5","CCNB1IP1","SLC1A1","PCDHB15","CFL2","CEBPB","ASNS","LMCD1","CDYL","LRRC25","SETD7","PKD2","HNRNPCL1","PLEKHN1"
"597","TSPO","CDK2AP1","TRIM28","H1F0","EIF4EBP1","PARP16","MINPP1","FAM78A","PRKDC","SNRPB2","CSK","ALOX15B","FOXJ2","TARDBP","COMT","GTF2E1","TRAF5","TMEM140","TCF4","ACTN3","NEB","LTA4H","SLC19A2","TRAP1","HIPK2","SLC27A3","RAB31","PTPRJ","CKB","DLX5","C5","RETN","LLGL2","RRM2B","EHD2","TAP1","NDUFS7","SMTN","HNRNPA1","CCDC88B"
"598","TGFBR2","SLC32A1","NUDCD2","SLC2A3","SUPT5H","SH3BP4","CERK","GNS","SLC6A8","ELF4","STK4","CKAP4","CCDC69","NMNAT3","IER3","TJAP1","HEBP1","HLA-J","ZNF22","PJA1","SAP25","TNFAIP8","FOXD3","SLC16A9","SQSTM1","ACSL1","COX7A1","TCEAL1","FBLN2","SKA1","NDUFS6","SPP1","NEDD9","SLC7A5","INSIG1","RNF44","GPT","TNS1","PPTC7","SERTAD2"
"599","PCYT1A","ZFPM1","DPEP2","CMTM6","APOC1P1","RGS2","SLC12A7","BST2","RAB17","EFEMP2","C17ORF62","METRN","ACSBG1","PTPN2","PHC2","SERINC5","HLA-G","TRIM4","APBB1IP","SLC6A8","BASP1","ASAH1","MAD1L1","IMPDH1","HIST1H1A","PARVG","GLIPR2","CITED4","DBN1","IER3IP1","LGALS3BP","CDC42EP2","LATS2","TSPAN8","TMEM51","CDC42EP3","LYVE1","ECE1","RPL11","SEMA5B"
"600","SIGLEC1","ACYP2","CDC7","DCAF12","IARS","MFGE8","STOM","ANKRD37","NME1","AURKA","HHEX","TMEM30A","REC8","PQBP1","PTGFRN","TUBA1C","PIGP","ANXA4","SKIL","C9ORF64","KLK14","CD276","MICAL1","SMAD1","SGK1","FCGR3B","SDC4","EEF1E1","C1ORF54","MEIS1","MCM7","TREML4","SEPT1","PITPNB","ERRFI1","CD44","PDLIM1","ALDH2","SUSD3","HOXB2"
"601","NOSTRIN","BRD3","LINC00094","TGFBI","RCC2","EGR2","CREG1","RAPH1","ZNF204P","BEX4","IGFLR1","PDZK1IP1","PLK4","TPI1","ZBTB16","IRF6","CREG1","CBR1","PGD","DLEU1","HMGCR","P2RX7","LY96","CENPA","PLCD3","BTN3A3","NPR3","SPC25","PEA15","LSM7","FZD3","YTHDC1","RAMP1","RAB11FIP5","NAA11","PPTC7","IGFBP6","HLA-F-AS1","ZNF14","NINJ2"
"602","LSP1","SOX6","SLC2A6","OSTF1","CD58","OSTC","BIN1","SIGLEC7","ITGAV","ACVR1","SGK1","BAIAP2","FCHO2","NECAB1","CFB","SERTAD3","DSE","IFITM2","AEBP2","LNX1","KLF10","TBC1D8","CYBRD1","PYCARD","IMPA2","TMEM154","ATP10D","SPI1","LAMA4","SLC25A24","TMEM170B","ELMO1","CXCR3","SLC25A33","S1PR3","LHFPL2","PFN1","PTPN14","SEC31B","LEPR"
"603","FNDC4","LSM7","QRSL1","FAM83D","CDCA2","GBP3","MFAP2","SNX8","CADPS2","ATP6V0C","GPR160","SEMA4B","HELLS","TXNL1","PDE1A","BAZ1A","IFI30","PLIN2","HIST1H2BK","CTNNAL1","MYLK2","MTHFD2","TCEAL8","G0S2","EFNB2","KCNJ2","MIR22HG","FLNA","TMEM132A","ZNF367","VIM","IPCEF1","TCIRG1","BLCAP","SEPT7","TMIGD2","PHYH","PTGS1","DUSP16","PON2"
"604","TSC22D3","PXDC1","MYBL2","NUCB2","NDFIP2","CD81","HSPA1B","CYTH4","CGN","MORC2-AS1","TSPAN18","SLC2A9","BSG","MKKS","HMGCS1","OSTF1","CTNNAL1","SLC22A18AS","PA2G4","COL4A2","ASPG","CMTM6","MYO1C","CCDC86","RHOD","TNFSF8","PLK1","CPEB2","TPD52L1","VRK1","IER2","ANXA11","ZNF267","LITAF","IL13RA2","ZFP36","ADRM1","ADAM12","NDUFA3","SAP25"
