"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"13","SPARCL1","DCX","TNFRSF17","CLC","XK","POSTN","RNASE3","FCGR2B","PODXL","EMCN","VSTM1","KRT7","KLF1","STMN1","COL6A1","TPRXL","RNASE2","PAH","RPL13","PTPRZ1","LCE1B","AQP9","SLC45A2","RYR3","PLAT","NCF2","MMP1","RNASE3","THBS1","PTPRZ1","FLRT3","VNN3","IL18RAP","ECM2","COL6A2","BEND2","MYH1","COL5A1","LCK","LOX"
"14","LEP","FABP7","P2RX5","PRG2","MYB","ABI3BP","CRHBP","F13A1","ZIC3","CD93","IL5RA","LAMB3","XK","RFESD","SCARNA2","NLRP13","RNASE3","SERPINC1","HOPX","SFRP2","DSC1","MMP9","MCF2L","HBB","SCARNA2","S100A9","CTHRC1","CLC","SCARNA2","EMX2","PNMAL1","PTGS2","TBX21","COL1A1","CDH11","RGS18","TNNT1","SPOCK1","RASGRP1","COL5A1"
"15","PDK4","A2M","FCRLA","ALAS2","PKLR","ANGPTL7","RNASE2","CLEC10A","TUBB2B","KDR","DPEP2","GJB2","HEMGN","GFI1B","THBS1","RIIAD1","AREG","RBP4","CD74","ESRP1","SPINK5","LPL","ITGB8","NFE2","RPL10","MS4A7","MIR100HG","RNASE2","MFAP5","TOX3","MEIS2","FPR2","KLRC3","COL6A3","IGFBP5","GGTA1P","TNNC2","CDH11","GIMAP4","NNMT"
"16","RPPH1","FGFBP3","STAP1","TCN1","GFI1B","COL12A1","PROM1","EGR2","DPPA4","TM4SF18","CORO7","ALDH1A3","HBG2","GYPE","LUM","BCL2L10","IGLL3P","HRG","NFE2","TMSB15A","SPRR2A","NCF2","HIST1H2BL","EPCAM","HIST1H3I","PILRA","MYL9","OLFM4","SERPINE1","FABP7","LIN28B","MNDA","TXK","COL1A2","HIST1H4F","NRGN","MYLPF","THBS2","STAT4","FOXD1"
"17","SCARNA2","GPM6B","KIAA0226L","BPI","HBQ1","MGP","MYB","LAMP3","TMSB15A","CLEC14A","ATP2A3","EHF","YPEL4","EPB42","COL12A1","ZP1","IRF8","FGB","CD52","EPCAM","LCE3D","C1QA","RPPH1","MPO","HIST1H2AL","RNASE6","FOXD1","MNDA","ITGBL1","PAX6","HOXC6","S100A8","SAMD3","FNDC1","LUM","ACSBG1","TNNT3","EFEMP1","GIMAP6","IGFBP3"
"18","C1QB","PTN","AIM2","FCN1","HBB","LUM","FLT3","ALOX15","LRRN1","EFEMP1","SYNE2","TRIM29","TUBG2","PPBP","COL5A1","MAEL","LYZ","APOA2","LYZ","TUBB2B","CRCT1","FGR","HIST1H3F","CNRIP1","C19ORF33","CYBB","CNN1","LCN2","LMO7","ID4","HS6ST2","APOBEC3A","FGFBP2","COL21A1","HIST1H3F","XK","TRIM63","DCN","NLRC3","SPOCK1"
"19","APOD","SALL1","GUSBP11","MMP8","KIT","BGN","FCER1A","C1QB","ESRP1","PODXL","CORO1A","C19ORF33","KEL","PTMA","CDH11","TCL1A","MNDA","UGT2B15","RAB37","MAL2","FLG","GPNMB","SLC16A6","ELANE","RPL13","CLEC4A","KRT19","VSTM1","TAGLN","TMSB15A","HEY1","SERPINA1","CTSW","THBS2","TPM4","TNFSF4","NRAP","SULF1","NELL2","TGFB1I1"
"20","ACACB","BBOX1","ZC3H12D","OLFM4","CYTL1","FMOD","HPGDS","ACP5","C9ORF135","PROCR","SCARNA2","IRF6","CA2","PRG2","GREM1","PDE8B","EREG","ORM1","CD37","CRABP1","DSG1","SPP1","EDNRB","ICAM4","HIST1H3C","TLR8","CTGF","RETN","LRRC17","ZIC2","EFNB2","FPR1","ITK","CTGF","TFPI2","KLRF1","SLN","FBN1","TRAF3IP3","MYL9"
"21","DCN","SOX11","PVRIG","RNASE2","ALAS2","COL1A1","CYTL1","FGL2","MAL2","CTGF","PLCB2","DSG3","LXN","UCA1","FBN1","NLRP7","SELL","FABP1","KIAA0125","C9ORF135","CALML5","CHIT1","HIST1H4L","RHAG","DCBLD2","APOBEC3A","TAGLN","AZU1","LUM","NNAT","RTN1","BCL2A1","ZAP70","GREM1","HGF","P2RY12","PDK4","COL6A2","CD52","ITGBL1"
"22","CYP4B1","RFX4","LTB","CA1","ATP7B","COL3A1","SELL","CLEC4A","EPCAM","SERPINE1","HK3","KRT6C","RFESD","CYCS","PDGFRA","SVOPL","PROM1","TTR","HSH2D","SALL2","KRT16","LILRB4","SCARNA2","CSF2RB","HIST1H3B","CD163","NNMT","RGL4","MXRA7","TUBB2B","CD24","FFAR2","STAT4","DCN","STC1","C2ORF88","XIRP2","LOX","LTB","COL5A2"
