"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"1",4.28e-117,0.643468931,1,0.984,1.4e-112,64.46568912,40.90928913,0,"KRT7"
"2",6.44e-88,0.78515891,0.93,0.746,2.11e-83,10.20874235,5.504299087,0,"UPK1A"
"3",9.35e-82,0.557790924,0.961,0.8,3.06e-77,7.082298319,4.490641354,0,"PPARG"
"4",6.09e-71,0.559361958,0.996,0.951,1.99e-66,18.10800367,11.96673359,0,"DBI"
"5",3.19e-68,0.678718772,0.841,0.608,1.05e-63,4.166973796,2.227910987,0,"KRT20"
"6",1.28e-62,0.685793048,0.796,0.561,4.2e-58,3.360834452,1.710973809,0,"CBX6"
"7",1.48e-62,0.542519486,0.831,0.611,4.85e-58,2.997252213,1.744396857,0,"IDH1"
"8",4.19e-59,0.556542049,0.977,0.876,1.37e-54,10.505902,6.823206973,0,"TACSTD2"
"9",3.01e-53,0.619271811,0.781,0.546,9.87e-49,3.715244415,2.069621435,0,"SPTSSB"
"10",4.08e-52,0.639113486,0.8,0.586,1.34e-47,4.237990959,2.363352718,0,"PHLDA1"
"11",1.33e-137,-1.128481009,0.611,0.674,4.36e-133,1.579412499,4.639329014,0,"HMGB2"
"12",5.05e-127,-1.412206154,0.376,0.534,1.65e-122,0.62986269,3.337779087,0,"UBE2C"
"13",6.62e-76,-1.421857983,0.637,0.628,2.17e-71,2.328831279,7.91894911,0,"HIST1H4C"
"14",3.82e-42,-1.602039523,0.142,0.253,1.25e-37,0.329723099,3.036669228,0,"IFI27"
"15",4.9e-42,-1.830364205,0.091,0.202,1.6e-37,0.094786149,2.893353368,0,"IFITM3"
"16",5.12e-35,-1.854286613,0.183,0.275,1.68e-30,0.301678942,3.706518501,0,"CD74"
"17",1.37e-32,-1.654300849,0.045,0.121,4.48e-28,0.044786031,2.288679378,0,"VIM"
"18",2.92e-32,-1.259651749,0.077,0.164,9.55e-28,0.112557248,1.663884116,0,"HLA-DRB1"
"19",1.57e-27,-2.196154667,0.086,0.146,5.15e-23,0.094123491,4.013889663,0,"IGFBP7"
"20",1.26e-25,-1.99293857,0.101,0.172,4.12e-21,0.112661509,3.428915083,0,"HSPA1A"
"21",1.01e-87,0.797897601,0.911,0.868,3.32e-83,7.096334344,3.656904406,1,"MT-ND4L"
"22",2.18e-73,0.728002396,0.991,0.977,7.14e-69,26.26972547,15.46380478,1,"MT-ND5"
"23",1.27e-63,0.643079945,1,0.995,4.15e-59,63.89881101,40.55759318,1,"MT-ND2"
"24",9.17e-54,0.659996379,0.493,0.486,3e-49,2.271213125,1.070284987,1,"MIR24-2"
"25",1.66e-38,0.680921833,1,1,5.43e-34,524.4973858,326.787708,1,"MALAT1"
"26",1.4e-32,0.738900987,0.591,0.585,4.6e-28,5.565016111,2.93372898,1,"IFI6"
"27",3.11e-25,0.614739736,0.938,0.915,1.02e-20,18.82961697,11.94968562,1,"IGF2"
"28",4.37e-25,0.77543127,0.837,0.848,1.43e-20,12.48464642,6.877918644,1,"FN1"
"29",1.29e-21,0.650718562,0.77,0.865,4.23e-17,18.36249627,11.33319338,1,"HES1"
"30",1.87e-16,0.847922514,0.351,0.326,6.11e-12,5.873721497,2.818931084,1,"HSPA6"
"31",6.39e-68,-0.587002765,0.472,0.805,2.09e-63,1.256227748,2.389131156,1,"CCNI"
"32",3.82e-51,-0.57944869,0.801,0.938,1.25e-46,3.783529093,6.147922848,1,"CNN3"
"33",1.25e-35,-0.660773532,0.494,0.732,4.11e-31,1.874411689,3.544243805,1,"PHLDA1"
"34",3.96e-18,-0.594735762,0.885,0.951,1.3e-13,8.795325396,13.79286083,1,"TUBA1B"
"35",1.17e-15,-0.604642937,0.023,0.102,3.83e-11,0.042532655,0.585277618,1,"IFITM2"
"36",3.03e-15,-1.680849159,0.063,0.166,9.91e-11,0.126477338,2.611673431,1,"HSPA1A"
"37",6.86e-14,-1.878219358,0.056,0.141,2.24e-09,0.101828488,3.0505534,1,"IGFBP7"
"38",3.7e-12,-1.345925801,0.045,0.102,1.21e-07,0.073861944,1.729684728,1,"VIM"
"39",7.69e-09,-1.331957589,0.122,0.165,0.000251662,0.254633504,2.158464995,1,"IFITM3"
"40",0.001149554,-0.703375274,0.096,0.137,1,0.356659347,1.209061807,1,"HLA-DRB1"
"41",1.08016062838023e-312,1.773122649,1,0.922,3.54e-308,31.84886557,8.610749829,2,"TUBA1B"
"42",5.72e-271,1.693380589,0.974,0.58,1.87e-266,9.149248969,2.138163414,2,"HMGB2"
"43",3.01e-251,1.775912039,0.86,0.17,9.84e-247,3.781670632,0.396293977,2,"TOP2A"
"44",7.98e-249,1.951693809,0.935,0.37,2.61e-244,7.267292053,1.137198699,2,"UBE2C"
"45",4.98e-240,1.655534372,0.893,0.235,1.63e-235,3.981309858,0.581168132,2,"NUSAP1"
"46",9.82e-233,1.395499189,0.998,0.889,3.22e-228,17.360577,5.979096614,2,"TUBB"
"47",2.54e-226,1.453967334,0.977,0.626,8.3e-222,7.937867701,2.262467106,2,"CKS1B-ENSG00000173207"
"48",2.09e-213,2.375924438,0.912,0.573,6.85e-209,18.7589134,2.806611317,2,"HIST1H4C"
"49",8.35e-164,1.486654382,0.862,0.404,2.73e-159,4.084308807,0.814280189,2,"KPNA2"
"50",3.13e-150,1.378882321,0.695,0.174,1.03e-145,2.500263632,0.34590937,2,"CDC20"
"51",8.75e-20,-0.76687795,0.841,0.833,2.87e-15,3.588422582,6.807584161,2,"HSPB1"
"52",1.05e-14,-1.531877627,0.205,0.242,3.44e-10,0.275228886,2.687476462,2,"CD74"
"53",1.99e-14,-1.46429861,0.117,0.163,6.52e-10,0.105024945,2.049087491,2,"IFITM3"
"54",1.59e-13,-0.753192647,0.604,0.556,5.22e-09,1.812700289,3.740858979,2,"S100A4"
"55",3.31e-12,-0.861812377,0.095,0.143,1.08e-07,0.124127736,1.042899677,2,"HLA-DRA"
"56",6.95e-12,-1.138995218,0.175,0.213,2.28e-07,0.451534666,2.196679806,2,"IFI27"
