"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"86",3.54e-57,3.358459773,0.977,0.028,1.16e-52,9.785639237,0.051595597,4,"RNASE1"
"87",5.76e-55,2.99588676,1,0.205,1.89e-50,10.13034019,0.395264871,4,"GNG11"
"88",1.81e-46,2.941100991,0.884,0.026,5.92e-42,6.978103821,0.038819432,4,"RAMP3"
"89",3.62e-22,3.408827415,0.442,0.038,1.18e-17,10.02245759,0.037813068,4,"DARC"
"90",7.13e-21,3.840487074,0.442,0.042,2.34e-16,14.01530331,0.048171392,4,"SELE"
"91",2.18e-18,-3.891201439,0.698,0.887,7.15e-14,1.207929918,31.76073499,4,"KRT19"
"92",3.34e-16,-3.355466687,0.651,0.877,1.09e-11,1.218564848,21.70744389,4,"S100P"
"93",1.26e-12,-3.325689648,0.512,0.843,4.11e-08,1.077954363,19.83379304,4,"CLDN4"
"94",2.37e-10,-3.39297214,0.698,0.853,7.77e-06,1.405390722,24.26806702,4,"S100A2"
"95",5.02e-09,-4.184356412,0.512,0.775,0.000164336,1.001276112,35.38511936,4,"SPINK1"
"96",1.52e-06,-4.746656332,0.442,0.736,0.049773892,0.662098384,43.62134556,4,"COL1A1"
"97",3.55e-06,-4.338497874,0.419,0.696,0.116278024,0.632344125,32.02400313,4,"COL1A2"
"98",1.25e-05,-4.019486621,0.419,0.696,0.407919798,0.734675755,27.13224225,4,"COL3A1"
"99",2.85e-05,-3.736896172,0.302,0.624,0.932509798,0.497840957,18.97025177,4,"MMP11"
"100",0.000223406,-3.549704371,0.465,0.688,1,0.918011024,21.46045709,4,"LUM"
"101",8.54e-88,4.619538586,1,0.538,2.8e-83,111.0923498,3.559910229,5,"MMP11"
"102",4.92e-77,3.765310016,1,0.621,1.61e-72,106.5446555,6.908927149,5,"LUM"
"103",2.89e-69,3.324942342,1,0.321,9.46e-65,24.7012051,1.56475632,5,"CTHRC1"
"104",1.48e-64,3.322868269,1,0.67,4.84e-60,189.2060075,18.00820946,5,"COL1A1"
"105",7.36e-61,3.29644087,1,0.626,2.41e-56,138.8798565,13.23729872,5,"COL1A2"
"106",1.78e-60,3.155637948,1,0.626,5.81e-56,113.5192454,11.85099634,5,"COL3A1"
"107",3.59e-59,3.18365091,1,0.349,1.18e-54,36.86220283,3.167076354,5,"DCN"
"108",1.01e-57,3.002882531,0.986,0.232,3.31e-53,13.40172883,0.79662283,5,"CTSK"
"109",1.74e-48,3.078748709,0.971,0.223,5.7e-44,21.98511212,1.720513693,5,"POSTN"
"110",1.51e-30,3.130122274,0.657,0.087,4.94e-26,10.68301636,0.334425371,5,"CHI3L1"
"111",2.76e-33,-3.335396747,0.286,0.836,9.03e-29,0.468199476,13.81970412,5,"ADIRF"
"112",1.74e-30,-3.559115782,0.8,0.883,5.68e-26,1.91933102,33.40994278,5,"KRT19"
"113",1.46e-26,-3.237469976,0.671,0.887,4.79e-22,1.527564919,22.83844331,5,"S100P"
"114",4.82e-26,-3.141256585,0.443,0.738,1.58e-21,0.51643527,12.37939062,5,"KRT17"
"115",6.54e-21,-3.170339769,0.671,0.838,2.14e-16,1.428091614,20.85910801,5,"CLDN4"
"116",2.09e-19,-3.565635083,0.629,0.872,6.85e-15,1.246988813,25.60504658,5,"S100A2"
"117",7.03e-18,-2.884243914,0.386,0.694,2.3e-13,0.452431397,9.723574201,5,"KRT13"
"118",4e-16,-4.134136738,0.529,0.787,1.31e-11,1.18311596,37.33327889,5,"SPINK1"
"119",1.12e-14,-3.09017604,0.529,0.745,3.68e-10,0.768475814,14.06034097,5,"PSCA"
"120",1.15e-13,-3.300086506,0.543,0.755,3.78e-09,0.685166072,15.5984576,5,"FABP4"
"121",8.02e-16,3.277079917,0.536,0.213,2.63e-11,14.38344287,0.586916917,6,"SRGN"
"122",3.23e-15,4.979913644,0.25,0.053,1.06e-10,32.43981689,0.05964528,6,"GNLY"
"123",1.53e-12,2.953401035,0.357,0.01,5.02e-08,6.798144422,0.006767003,6,"CD52"
"124",1.87e-12,7.055411519,0.25,0.062,6.12e-08,140.1813332,0.06141881,6,"TPSAB1"
"125",7.98e-12,3.42860522,0.357,0.01,2.61e-07,10.0553772,0.026740162,6,"FDCSP"
"126",1.06e-11,3.658935667,0.179,0.008,3.48e-07,11.71628842,0.006725297,6,"CPA3"
"127",5.41e-10,2.996434537,0.214,0.002,1.77e-05,6.994698541,0.001810125,6,"CD7"
"128",8.23e-10,2.977543039,0.179,0.016,2.69e-05,6.983375506,0.013577098,6,"GZMA"
"129",3.76e-09,3.25553999,0.25,0.002,0.000123184,8.571871328,0.002262919,6,"NKG7"
"130",0.004876339,2.974123497,0.107,0.012,1,6.969496529,0.014216105,6,"CXCL13"
"131",1.74e-07,-4.425198852,0.393,0.773,0.005682266,0.647594614,34.39712216,6,"SPINK1"
"132",2.64e-06,-1.865626887,0.214,0.621,0.086386296,0.232049284,3.489911021,6,"IGFBP3"
"133",2.09e-05,-1.881087602,0.464,0.781,0.685411654,2.692874687,12.60280158,6,"ADIRF"
"134",3.38e-05,-2.026743498,0.536,0.734,1,1.364300621,8.634147311,6,"FABP5"
"135",3.57e-05,-2.770456243,0.393,0.746,1,1.248826674,14.34427646,6,"FABP4"
"136",0.003379097,-1.912604227,0.214,0.387,1,0.24021633,3.669266773,6,"THY1"
"137",0.004271264,-2.542045365,0.429,0.52,1,0.752758868,9.208315365,6,"FN1"
"138",0.005133297,-3.677099359,0.357,0.611,1,0.518829778,18.42792004,6,"MMP11"
"139",0.006578409,-1.848965705,0.607,0.723,1,2.846403963,12.85635596,6,"PSCA"
"140",0.00870998,-1.806600863,0.071,0.305,1,0.203664005,3.210622661,6,"COL4A1"
"141",5.58e-55,4.792565692,0.932,0.105,1.83e-50,33.39325339,0.240986993,7,"RGS5"
"142",7.36e-54,4.070875556,0.955,0.073,2.41e-49,18.83990051,0.180548514,7,"NDUFA4L2"
"143",6.01e-49,3.156149745,0.977,0.268,1.97e-44,15.70320629,0.873717448,7,"COL18A1"
"144",5.6e-47,3.178963551,0.864,0.071,1.83e-42,9.039751366,0.108560944,7,"TPPP3"
"145",6.79e-46,2.763650506,0.955,0.19,2.22e-41,7.866787663,0.305643492,7,"LHFP"
"146",6.84e-41,3.682306086,0.864,0.097,2.24e-36,17.48388789,0.439821786,7,"PPP1R14A"
"147",1.11e-34,2.958186864,0.818,0.091,3.65e-30,8.29535884,0.196088132,7,"FRZB"
"148",3.35e-33,2.918468528,0.841,0.216,1.1e-28,10.67252141,0.543896244,7,"CRIP1-ENSG00000213145"
"149",1.16e-29,3.451953564,0.977,0.458,3.8e-25,56.90150889,4.291128574,7,"ACTA2"
"150",4.54e-28,2.815448819,0.977,0.353,1.49e-23,23.97706855,2.548190428,7,"MGP"
"151",4.7e-19,-3.98292371,0.614,0.895,1.54e-14,1.076558255,31.83398733,7,"KRT19"
"152",2.09e-18,-3.460807946,0.682,0.875,6.85e-14,1.067314977,21.76216944,7,"S100P"
"153",4.56e-17,-3.373730644,0.182,0.746,1.49e-12,0.233182734,11.78266939,7,"KRT17"
"154",5.61e-17,-2.839595422,0.455,0.8,1.84e-12,0.696918103,11.14686712,7,"TACSTD2"
"155",1.22e-14,-3.491999274,0.523,0.843,3.99e-10,0.856809623,19.89122491,7,"CLDN4"
"156",3.68e-12,-3.574450139,0.636,0.859,1.2e-07,1.12701372,24.33885586,7,"S100A2"
"157",4.01e-11,-2.870063268,0.295,0.685,1.31e-06,0.400929358,9.242155606,7,"KRT13"
"158",4.29e-10,-4.323497938,0.523,0.774,1.4e-05,0.821536164,35.4703863,7,"SPINK1"
"159",8.31e-10,-3.165354903,0.432,0.742,2.72e-05,0.602657638,13.37829965,7,"PSCA"
"160",4.82e-08,-3.191872051,0.5,0.748,0.001579346,0.730440604,14.81269619,7,"FABP4"
