"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"416",1.51e-29,-4.720583445,0.117,0.438,4.23e-25,1.326553653,60.34092015,20,"Cd74"
"417",6.05e-29,-4.302254512,0.212,0.436,1.7e-24,0.539005255,29.36321535,20,"Col3a1"
"418",2.93e-20,-4.161550452,0.004,0.194,8.2e-16,0.001911261,16.93001993,20,"Ccl3"
"419",3.02e-12,-4.816748908,0.004,0.125,8.46e-08,0.008718745,27.42863411,20,"S100a9"
"420",1.11e-11,-4.498256736,0.017,0.151,3.11e-07,0.038050629,22.46003965,20,"S100a8"
"421",0,4.307341205,0.994,0.006,0,19.20841715,0.020688904,21,"Siglech"
"422",0,4.277218261,0.994,0.008,0,18.80270591,0.021300497,21,"Ccr9"
"423",0,3.57635994,0.903,0.003,0,11.02458004,0.008041241,21,"Klk1"
"424",1.01e-297,2.582502842,0.96,0.031,2.82e-293,5.31234724,0.053853062,21,"Rnase6"
"425",6.32e-269,2.791589474,1,0.572,1.77e-264,21.67862046,2.275400912,21,"Bst2"
"426",1.38e-266,2.277565793,0.818,0.008,3.86e-262,3.924340513,0.015622832,21,"Cox6a2"
"427",5.54e-252,2.719974535,0.903,0.023,1.55e-247,5.959254204,0.056255,21,"Spib"
"428",6.6e-206,2.883336602,0.909,0.049,1.85e-201,7.978752623,0.21687285,21,"Ly6c2"
"429",1.84e-174,2.305876833,1,0.253,5.16e-170,8.198261916,0.860234432,21,"Selplg"
"430",7.41e-133,2.658177574,0.96,0.293,2.07e-128,15.70796243,1.646868139,21,"Irf8"
"431",1.59e-42,-4.652112136,0.028,0.472,4.47e-38,0.092748084,26.47548389,21,"Sparc"
"432",3.97e-38,-3.857436708,0.045,0.471,1.11e-33,0.143175566,15.56979322,21,"Igfbp7"
"433",1.52e-37,-4.894338392,0.034,0.437,4.27e-33,0.0189861,29.30476529,21,"Col3a1"
"434",2.13e-37,-4.08075418,0.006,0.398,5.96e-33,0.004709888,16.00082863,21,"Col1a1"
"435",2.48e-36,-4.206654726,0.006,0.388,6.93e-32,0.002116968,17.50323522,21,"Col1a2"
"436",1.5e-34,-5.23639773,0.057,0.431,4.21e-30,0.054290494,38.7441375,21,"Dcn"
"437",5.12e-28,-4.998558723,0.034,0.374,1.43e-23,0.020076026,31.60983877,21,"Mgp"
"438",6.14e-16,-3.364976185,0.307,0.123,1.72e-11,1.752396312,27.35761707,21,"S100a9"
"439",4.49e-06,-3.491916188,0.108,0.04,0.12571395,0.08352694,11.19021116,21,"Mcpt1"
"440",5.88e-06,-4.075854889,0.131,0.193,0.164497064,0.370620935,22.11383137,21,"Psca"
